Windows, 5.3.8.2000 / October 25  2019; 56 days ago (2019-10-25)[11]
Android, 5.2.3.3241 / January 25  2019; 10 months ago (2019-01-25)[12]
Mac, 5.1.60 / August 27  2018; 15 months ago (2018-08-27)[13]
iOS, 5.4.3 / December 9  2019; 11 days ago (2019-12-09)[14]
Windows Phone, 2.2.0 / March 30  2017; 2 years ago (2017-03-30)[15]
Linux, 1.0.5.3 / September 9  2014; 5 years ago (2014-09-09)[16]
