Threading and Synchronization, Java, C#
Threads, Yes, Yes
Thread pool, Yes, Yes
Task-based parallelism, Yes[84], Yes[85]
Semaphores, Yes, Yes
Monitors, Yes, Yes
Thread-local variables, Yes, Yes; ThreadStaticAttribute and ThreadLocal<T> class
