

me,tu,vu,il(u),el(u),ol(u),lu,ni,vi,ili,eli,oli,li,su,on(u)
I,thou,you,he,she,it,–,we,you,,,,they,,one
mi/mu,tu,vu,lu,elu,lu,–,nos,vos,,,,ilu,su,on
mi,ci,vi,li,?i,?i,li/gi¹,ni,vi,,,,ili,si,oni
