Distribution, Founder, Maintainer, Initial release year, Current stable version, Security updates (years), Release date, System distribution commitment, Forked from, Target audience, Cost, Status
Kali Linux, Max Moser  Mati Aharoni  Martin J. Muench, Offensive Security, 2013, 2019.2[33], ?, 2019-05-21, X, Debian, auditing  forensic  security  network, Gratis, Active
Knoppix, Klaus Knopper, dev team, 2000, 8.6[34], ?, 2019-08-08, X, Debian, live, Gratis, Active
Kodibuntu, The XBMC Project, Team Kodi, 2008, ?, ?, ?, X, Debian  Ubuntu, multimedia, Gratis, Inactive
Korora, Chris Smart, Dev Team, 2005, 26[35], ?, 2017-09-16, X, Fedora, desktop, Gratis, Inactive
LibreCMC, LibreCMC team, LibreCMC team, 2010, 1.4.8[36], ?, 2019-06-30, 100% Free: GNU FSDG, Merged from LibreWRT, embedded systems, Gratis, Active
Linspire, Linspire  Inc., Linspire  Inc., 2001, 7.0 SP1[37], ?, 2018-04-08, X, Ubuntu, ?, Commercial[38], Active
Linux Mint, Clement Lefebvre, dev team, 2006, 19.3[39], ~3 years (LMDE); 5 years (main editions), 2019-08-02, X, Debian(LMDE)  Ubuntu (LTS versions), desktop, Gratis, Active
Linux Lite, Jerry Bezencon, Linux Lite Team, 2012, 4.4[40], ?, 2018-11-01, X, Ubuntu, desktop, Gratis, Active
Mageia, Mageia Community, mageia.org, 2010, 7.1[41], 1 year, 2019-07-01, X, Mandriva Linux, general, Gratis, Active
Mandriva Linux, Mandrakesoft S.A., Mandriva S.A., 1998, 2011, ?, 2011-08-28, X, Red Hat Linux, general, Some editions are gratis, Inactive
Manjaro Linux, Roland Singer, dev team, 2012[42], Rolling, Rolling, Rolling, X, Arch Linux, general, Gratis, Active
MEPIS, Warren Woodford, MEPIS LLC, 2003, 11.9.90, ?, ?, X, Debian, desktop  server, Gratis, Inactive
Musix GNU+Linux, Musix team, Musix team, 2008, 3.0.1, ?, 2014-03-13, 100% Free: GNU FSDG, Debian, multimedia, Gratis, Active
Netrunner, Blue Systems, dev team, 2009, 2018.08[43], as per Debian Testing or Manjaro (rolling), 2018-03-11, X, Debian  Manjaro/Arch, desktop, Gratis, Active
NixOS, Eelco Dolstra and Armijn Hemel, NixOS Foundation, 2003, 19.03, 0.5 years, 2019-05-02, X, –, general  server  desktop, Gratis, Active
Novell Open Enterprise Server, Novell, Novell  Inc. dev team, 2003, OES 2018 SP1, ?, ?, X, SUSE Linux Enterprise Server, server, Commercial[44], Active
OpenELEC, Stephan Raue  OpenELEC Team, OpenELEC Team, 2011, 8.0.4, ?, 2017-06-04, X, Kodi, multimedia, Gratis, Active
openSUSE, SUSE Linux  Novell, openSUSE Project, 2006, Leap 15.1[45], 3 years[46], 2019-05-22, X, –, general  desktop, Gratis, Active
OpenWrt, ?, OpenWrt team, 2007, 18.06.4[47], ?, 2019-07-01, X, –, embedded systems, Gratis, Active
OpenMandriva Lx, OpenMandriva Association, OpenMandriva Association, 2013, 4.0, ?, 2019-05-12, 100% Free: GNU FSDG, Mandriva Linux, general, Gratis, Active
Oracle Linux, Oracle Corporation, Oracle Corporation, 2006, 7.6[48], ?, 2018-11-07, X, Red Hat Enterprise Linux (RHEL), server, Gratis, Active
Parabola GNU/Linux-libre, Parabola Hackers, Parabola Hackers, 2009, Rolling[49], Rolling, 2017-05-28, 100% Free: GNU FSDG followed in Parabola Social Contract, Arch Linux, general, Gratis, Active
Pardus, Scientific and Technological Research Council of Turkey (TÜB?TAK), TÜB?TAK, 2005, 17.5[50], ?, 2018-11-03, X, Gentoo (2011.2) Debian, general, Gratis, Active
Parsix, Alan Baghumian, Parsix Project, 2005, 8.15, ?, 2017-01-25, X, Debian, desktop, Gratis, Inactive
PCLinuxOS, Bill Reynolds, dev team, 2003, 2019.06[51], Semi-rolling, 2019-06-16, X, Mandriva Linux, desktop, Gratis, Active
Pop! OS, Carl Ritchell, System76, 2017, 19.10, ?, 2019-10-19, X, Ubuntu, desktop  server  laptop, Gratis, Active
Pentoo, Michael Zanetta  Rick Farina  Jens Pranaitis, Pentoo, 2005, 2019.1, ?, 2019-01-17, X, Gentoo Linux, auditing  security, Gratis, Active
Porteus, Fanthom, Porteus, 2010, 4.0[52], ?, 2018-04-29, X, Slackware, lightweight  portable, Gratis, Active
Puppy Linux, Barry Kauler, Puppy Foundation, 2003, 8.0[53], ?, 2019-04-11, X, Independent  inspired from Vector linux, lightweight  portable, Gratis, Active
Qubes OS, Joanna Rutkowska, Invisible Things Lab, 2012, 4.0.1[54], ?, 2019-01-09, X, Xen and Fedora, security by compartmentalization  desktop, Gratis, Active
Red Hat Enterprise Linux (RHEL), Red Hat, Red Hat, 2002, 8.0, 10 years[55], 2019-05-07, X, Red Hat Linux  Fedora, server  workstation, Commercial[56][57], Active
Red Hat Linux, Red Hat, Red Hat, 1995, 9, ?, 2003-03-31, X, –, server  workstation, Gratis, Inactive
ROSA, ?, LLC NTC IT ROSA, 2011, R11[58], ?, 2019-03-15, X, Mandriva, server  general, Gratis, Active
Rocks Cluster Distribution, UCSD Supercomputing Center  Clustercorp, UCSD Supercomputing Center  Clustercorp, 2000, 7.0, ?, 2015-12-01, X, Red Hat Linux, server  workstation, Gratis, Active
Sabayon Linux, Fabio Erculiani, dev team, 2005, 19.03[59], ?, 2019-03-31, X, Gentoo Linux, general, Gratis, Active
Salix OS, Cyrille Pontvieux  George Vlahavas  Pierrick Le Brun  Thorsten Mühlfelder, Salix team, 2009, 14.2, ?, 2016-08-29, X, Slackware, general, Gratis, ?
Scientific Linux, CERN  Fermilab, dev team, 2004, 7.6[60], ?, 2018-12-03, X, Red Hat Linux  Red Hat Enterprise Linux (RHEL), server  workstation, Gratis, Active
Slackware, Patrick Volkerding, dev team, 1993, 14.2[61], ?, 2016-06-30, X, Softlanding Linux System (SLS), general, Gratis, Active
Slax, Tomas Matejicek, Tomas Matejicek, 2002, 9.9.1[62], ?, 2019-06-17, X, Debian  Slackware (until Slax 9), live, Gratis, Active
SliTaz GNU/Linux, Christophe Lincoln, dev team, 2008, Rolling, Rolling, 2017-12-03, X, Independent, portable, Gratis, Active
Solus, Ikey Doherty, dev team, 2005, Rolling, Rolling, 2017-08-15, X, –, desktop, Gratis, Active
SolydXK, Arjen Balfoort, dev team, 2013, 201902[63], Debian packages as per Debian, 2019-03-03, X, Debian, desktop, Gratis, Active
SparkyLinux, ?, Sparky Linux team, 2012, 5.7.1[64], ?, 2019-04-03, X, Debian, general  video games, Gratis, Active
Source Mage GNU/Linux, Ryan Abrams  Eric Schabell, dev team, 2002, 0.62-11, ?, 2017-10-22, Source Mage Social Contract, Sorcerer, general, Gratis, Active
