

I,you (thou),you,he,she,it,he/it,we,you,,,,they,,one
me,tu,vu,il(u),el(u),ol(u),lu,ni,vi,ili,eli,oli,li,su,on(u)
me,vu,vu,lo,la,lu(m),le,nus,vus,los,las,lus,les,se,on
