Windows, 7.10.5.45496 / December 20  2019; 27 days ago (2019-12-20)[7]
Mac, 7.4.3.43797 / September 4  2019; 4 months ago (2019-09-04)[8]
Android, 6.1.7 / January 4  2020; 12 days ago (2020-01-04)[9]
