-o (libro),book,-o (libro)
-i (libri),books,-oj (libroj)
-a (varma),warm,-a (varma)
-e (varme),warmly,-e (varme)
-ar (irar),to be going,to go,-anti (iranti),-i (iri)
-ir (irir),to have gone,-inti (irinti)
-or (iror),to be going to go,-onti (ironti)
-as (iras),go"""" goes,-as (iras)
-is (iris),went,-is (iris)
-os (iros),will go,-os (iros)
-ez (irez),go!,-u (iru)
-us (irus),would go,-us (irus)
