Name, Parsing algorithm, Input grammar notation, Boolean grammar abilities, Development platform, License
LuZc[7][8], delta chain, modular, Conjunctive  not complimentary, POSIX, Proprietary
bnf2xml, Recursive descent (is a text filter output is xml), simple BNF[clarification needed] grammar (input matching)  output is xml, ?, Beta  and not a full EBNF parser, Free  GNU GPL
