, Creator, Latest stable version, Release date, OS, Software license, Open source, Programming language, Plugin support
9menu, Arnold Robbins, 1.8, June 1  2004, Linux, GPL, Yes, C, No
Avant Window Navigator, Neil J. Patel, 0.4.2 [1], November 27  2013, Linux, GPL, Yes, C, Yes
dmenu, dwm developers, 4.5[2], December 19  2011, Linux, MIT License, Yes, C, No
GNOME Do, GNOME Do Developers, 0.95.1[3], January 23  2014, Linux, GPL, Yes, C#, Yes
LXPanel, LXDE Developers, 0.10.0[4], February 26  2019[5], Linux, GPL, Yes, C, Yes[6]
Katapult, TDE Developers, R14.0.6[7], March 5  2019, Linux with TDE, GPL, Yes, C++, Yes
rofi, Dave Davenport, 1.5.4[8], October 26  2019, Linux, MIT/X11 License, Yes, C, No
Unity Dash, Canonical Ltd., 7.3.0[9], June 19  2014, Ubuntu, GPLv3, Yes, Vala, Yes ("lenses" and "scopes")
