Engine, Origin, Designer, Vehicle, Use, Propellant, Specific impulse (s)[a], Thrust (N)[a], Mass (kg), Thrust:weight ratio[b], Chamber pressure (bar), Oxidiser:fuel ratio
SCE-200, India, LPSC, GSLV Mk III ULV, Upper  main, RP-1?/?LOX, 335 299 (SL), 2 030 000 1 820 000 (SL), 2 700, , 180, 
SLS Solid Rocket Booster[e], USA, Orbital ATK, SLS, Booster, PBAN, 267, 16 000 000, 730 000 with fuel, , , 
SLV-1, India, Godrej & Boyce, PSLV, Booster, HTPB, 253[56], 502 600, 10 800 with fuel, , 43, 
SRB-A, Japan, IHI Aerospace JAXA, H-IIA, Booster, HTPB, 280[57], 2 250 000, 76 400 with fuel, , , 
SRB-A3, Japan, IHI Aerospace JAXA, H-IIB Epsilon, Booster, BP-207J[58], 283.6[58], 2 305 000 2 150 000 (SL), 76 600 with fuel, , 111, 
TQ-12[59], China, Landspace, ZQ-2, 1st, CH4?/?LOX, 284, 667 000 (SL), , , 101, 
Vikas (rocket engine), India, LPSC, PSLV GSLV GSLV Mk III, 2nd  main  booster, N2O4?/?UDMH, 262, 680 500–804 500 600 500–756 500 (SL), , , 53.0–58.5, 
Vinci, Europe, Snecma, Ariane 6, Upper, LH2?/?LOX, 467[60], 180 000, 280, 65.60, 61, 
Vulcain 2, Europe, Snecma, Ariane 5, 1st, LH2?/?LOX, 429[61] 318 (SL)[62], 1 359 000[61] 939 500 (SL)[62], 1 800[61], 77.04, 117.3[61], 
YF-100, China, AALPT, Long March 5 Long March 6 Long March 7, Booster  1st, RP-1?/?LOX, 335[63] 300 (SL), 1 340 000 1 200 000 (SL), , , 180, 
YF-115, China, AALPT, Long March 6 Long March 7, 2nd, RP-1?/?LOX, 341.5, 176 500, , , , 
YF-21B, China, AALPT, Long March 2E Long March 2F Long March 3, Booster  1st, N2O4?/?UDMH, 260.66 (SL)[64], 740 400 (SL)[64], , , , 
YF-21C, China, AALPT, Long March 2C Long March 2D Long March 3A Long March 3B Long March 3C Long March 4B Long March 4C, 1st, N2O4?/?UDMH, 260.7 (SL)[64], 740 400 (SL)[64], , , , 
YF-25, China, AALPT, Long March 3B Long March 3C, Booster, N2O4?/?UDMH, 260.66 (SL)[64], 740 400 (SL)[64], , , , 
YF-22B, China, AALPT, Long March 2E Long March 2F, 2nd, N2O4?/?UDMH, 298.0[64], 738 400, , , , 
YF-22C, China, AALPT, Long March 2C Long March 2D Long March 4B Long March 4C, 2nd, N2O4?/?UDMH, 298.0[64], 742 040, , , , 
YF-22D, China, AALPT, Long March 3, 2nd, N2O4?/?UDMH, 298.0[64], 741 400, , , , 
YF-22E, China, AALPT, Long March 3A Long March 3B Long March 3C, 2nd, N2O4?/?UDMH, 298.0[64], 741 400, , , , 
YF-40, China, AALPT, Long March 4B Long March 4C, 3rd, N2O4?/?UDMH, 303, 103 000, , , , 
YF-50D, China, AALPT, Long March 3B Long March 3C Long March 5 Long March 7, Upper, N2O4?/?UDMH, 315.5, 6 500, , , , 
YF-73, China, AALPT, Long March 3, 3rd, LH2?/?LOX, 420.0, 44 150, , , , 
YF-75, China, AALPT, Long March 3A Long March 3B Long March 3C, 3rd, LH2?/?LOX, 438.0[64], 167 170, , , , 
YF-75D, China, AALPT, Long March 5, 2nd, LH2?/?LOX, 442.0, 86 260, , , , 
YF-77, China, AALPT, Long March 5, 1st, LH2?/?LOX, 430 310.2 (SL), 700 000 510 000 (SL), 2 700, , 102, 
Zefiro 9A, European Union, Avio, Vega, 3rd, Solid, , 72 000, , , 75, 
Zefiro 23, European Union, Avio, Vega, 2nd, Solid, , 209 000 (SL), , , , 
