

I,thou¹,you¹,he,she,it,she or he,we,you,,,,they,one
mi,ci¹,vi¹,li,?i,?i,-/?i²/gi,ni,vi,,,,ili,oni
me,vu,vu,lo,la,lu,le,nus,vus,los,las,lus,les,on
