Application and developer, Latest version/release + date, Schematic?, Simulation?, PCB editing?, Runs on POSIX style systems?, Runs on Windows?, Other platforms?, Open source?, User Interface Language(s), Imports, Exports, Scripting support
Advanced Design System by Keysight EEsof EDA, 2019 15 November 2018 (13 months ago) (2018-11-15)[1], Yes, Yes, Yes, Yes[2], Yes[2], SuSE  RHEL[2], No, en, HSPICE  SPICE  Spectre netlists; Gerber  Excellon  ODB++  artwork; more, HSPICE  SPICE  Spectre netlists; Gerber  Excellon  ODB++  artwork; more, Python  Application Extension Language (proprietary; "AEL")
Active-HDL by Aldec, 10.3 16 March 2016 (3 years ago) (2016-03-16), Yes, Yes, No, No, Yes, No, No, en, EDIF  Viewlogic  more, PDF  HTML  Verilog  VHDL  EDIF  Zuken  more
Altium Designer (former Protel) by Altium, 19.0.15 18 April 2019 (8 months ago) (2019-04-18), Yes, Yes, Yes, No, Yes, Wine, No, Multilingual, OrCAD  Allegro  PADS Logic  PADS PCB  Expedition  DxDesigner  EAGLE  Gerber  STEP  Solidworks  IDF  more, 3D PDF  Gerber  Gerber X2  Excellon  ODB++  DXF  STEP  OrCAD  EAGLE  more, Delphi  JS  VB
CADSTAR  Board Designer  and Visula by Zuken, 18 30 June 2017 (2 years ago) (2017-06-30), Yes, Yes  Spice, Yes, No, Yes, No, No, en, PADS  OrCAD  P-CAD  Protel  DXF  IDF, PDF  Gerber  Excellon  ODB++  DXF  IDF more
CircuitLogix by Logic Design Inc., Release 10 January 2019 (1 year ago) (2019-01), Yes, Yes, Yes, No, Yes, No, No, en, SPICE  Gerber  DXF, SPICE  PDF  Gerber  DXF, 
CircuitMaker by Altium, 1.3.0.119 August 2016 (3 years ago) (2016-08), Yes, No, Yes, No, Yes, Wine, No, en, AD09  AD10  AD12  PADS  P-CAD  OrCAD  Protel  EAGLE  DXF, Gerber  Excellon  DXF  STEP  more
CircuitStudio by Altium, 1.5.1.13 25 May 2018 (19 months ago) (2018-05-25), Yes, Yes, Yes, No, Yes, Wine, No, en, AD09  AD10  AD12  PADS  P-CAD  OrCAD  Protel  EAGLE  DXF, Gerber  Excellon  SPICE  DXF  STEP  more
CR-5000 by Zuken, 13 17 May 2011 (8 years ago) (2011-05-17), Yes, Yes  SI & PI, Yes, Yes, Yes, Unix  Linux, No, en  jp, EDIF  DXF  IGES  IDF  BSDL  STEP  ACIS  Gerber  Excellon  more, PDF  Gerber  Excellon  ODB++ (must request[3])  DXF  STEP  IPC D-356  IPC-2581  EPS  ACIS
DipTrace by Novarm, 3.3.1.0 29 November 2018 (13 months ago) (2018-11-29), Yes, External (Spice netlist export), Yes, Yes, Yes, Mac  Wine, No, 21 languages, EAGLE  Altium  P-CAD  PADS  OrCAD  Gerber  N/C Drill  DXF  BSDL Pinlist  Netlists, Gerber  Gerber X2  Excellon  ODB++  DXF  P-CAD  PADS  OrCAD  IPC-D-356  STEP  VRML  Pick and Place  CSV  BOM
DesignSpark PCB from RS Components, 8 16 June 2016 (3 years ago) (2016-06-16), Yes, Yes  Spice, Yes, No, Yes, No, No, Various, EAGLE  DXF  EDIF, Gerber  Excellon  ODB++  DXF  IDF  PDF  LPKF
EAGLE by Autodesk/CadSoft Computer, 9.3.2 21 March 2019 (9 months ago) (2019-03-21), Yes, Ngspice, Yes, Yes, Yes, Linux  Mac, No, de  en  zh  hu  ru, EAGLE (XML)  ACCEL (P-CAD  Altium  Protel)  ULTIBOARD  Netlists  BMP  Custom, EAGLE (XML)  Protel  Netlists  Images  Gerber  Gerber X2  Excellon  Sieb & Meyer  HPGL  PostScript/EPS  PDF  Images  HyperLynx  IDF  Custom, Proprietary User Language Programming (ULP)
EasyEDA, 5.4.12 7 May 2018 (20 months ago) (2018-05-07), Yes, Ngspice, Yes, Yes, Yes, Linux  Mac  and Chrome OS as a Web application, No, en  fr  de  pl  jp  ru  es  se  ua  zh ..., Altium  EAGLE  KiCad libraries  LTspice .asc/.asy files  JSON  Spice, PDF  PNG  SVG  JSON  Gerber  Excellon  Pick and Place CSV file  CSV-formatted drill chart  Bill of Materials CSV file  Altium netlist  FreePCB netlist  PADS Layout Netlist  Spice netlist., JSON
Fritzing, 0.9.3b[4] 3 June 2016 (3 years ago) (2016-06-03), Yes  + breadboard, No, Yes, Yes, Yes, Linux  Mac, Yes, en  de  nl  es  it  fr  pt  ru  zh  jp  ..., gEDA symbols  KiCad symbols  SVG, Gerber  DIY etching  BOM  SVG  PDF  EPS
