Distribution, Founder, Maintainer, Initial release year, Current stable version, Security updates (years), Release date, System distribution commitment, Forked from, Target audience, Cost, Status
Debian, Ian Murdock, Debian Project, 1993, 10.2[14], ~3 years[g 1], 16/11/19, Debian Social Contract and DFSG (main is 100% free  non-free packages are optional)[15], Softlanding Linux System (SLS)[16], general  server  desktop, Gratis, Active
Debian Edu, , Debian Project, 2004, 9.0+edu0[17], ~3 years[g 1], 18/06/17, Debian Social Contract and DFSG, Debian, schools, Gratis, Active
Devuan, "The "Veteran Unix Admins" (VUA)", "The "Veteran Unix Admins" (VUA)", 2016, 2.0.0[18], ?, 16/09/18, X [19], Debian, general, Gratis, Active
Deepin, Wuhan Deepin Technology Co.  Ltd., Wuhan Deepin Technology Co.  Ltd., 2004, 15.10.2[20], ?, 05/07/19, ?, Debian(current)  Ubuntu  Morphix(formerly), general, Gratis, Active
Dragora GNU/Linux-Libre, Matias A. Fonzo, Matias A. Fonzo, 2009, 3.0-alpha2[21], ?, 28/09/18, 100% Free: GNU FSDG, Independent  inspired from Slackware, general, Gratis, Active
dyne:bolic, Jaromil, Jaromilx, 2005, 3.0.0, ?, 08/09/11, 100% Free: GNU FSDG, Debian, multimedia, Gratis, Inactive
Elementary OS, Daniel Foré, elementary LLC, 2011, 5.0[22], ?, 16/10/18, X, Ubuntu  Debian, general, Gratis, Active
ELinOS, SYSGO, SYSGO, 1999, 6.2[23], ?, 01/10/17, X, –, embedded systems, Partial, Active
Emdebian Grip, Embedded Debian Project, Embedded Debian Project, 2009, 03/01/19, End-of-life, 15/06/13, X, Debian, embedded systems, Gratis, Inactive
EndeavourOS, Bryan Poerwoatmodjo, EndeavourOS, 2019, Rolling, Rolling, 15/07/19, X, Arch Linux, general, Gratis, Active
Fedora, Fedora Project, Fedora Project, 2003, 31[24], 1 year, 29/10/19, Fedora Licensing Guidelines[25], Red Hat Linux, general, Gratis, Active
Freespire, Lindows.com  Inc., PC/OpenSystems LLC, 2001, 4.8[26], ?, 20/12/18, X, Ubuntu, desktop, Gratis, Active
Gentoo Linux, Daniel Robbins, Gentoo Foundation  Inc., 2002, Rolling, Rolling, Rolling, Gentoo Social Contract, Enoch Linux, general, Gratis, Active
Guix, Ludovic Courtès, Ludovic Courtès  Ricardo Wurmus  the Guix community, 2012, 1.0.1[27], Rolling, 02/05/19, 100% Free: GNU FSDG, –, general, Gratis, Active
gNewSense, Brian Brazil and Paul O'Malley, Sam Geeraerts with sponsorship from the FSF, 2006, 4.0 (Ucclia)[28], ?, 02/05/16, 100% Free: GNU FSDG, Debian, general  server, Gratis, Active
gnuLinEx, Regional Government of Extremadura, dev team, 2002, LinEx 2013, ?, 11/02/13, X, Debian, desktop, Gratis, Inactive
Grml, Michael Prokop, The Grml Team, 2005, 2018.12[29], ?, 31/12/18, X, Debian, live  maintenance  security  network  forensic  accessibility, Gratis, Active
Hyperbola GNU/Linux-libre, Hyperbola Founders, Hyperbola Founders, 2017, 0.3[30], 3 years (stable)  5 years (old stable)[31], 23/09/19, 100% Free: GNU FSDG followed in Hyperbola Social Contract, Arch Linux, general, Gratis, Active
Instant WebKiosk, Marco Buratto, Binary Emotions, 2012, 16.0[32], ?, 05/04/17, X, Debian, web kiosks  digital signage  personal web navigation, Gratis, Active
Kali Linux, Max Moser  Mati Aharoni  Martin J. Muench, Offensive Security, 2013, 2019.2[33], ?, 21/05/19, X, Debian, auditing  forensic  security  network, Gratis, Active
Knoppix, Klaus Knopper, dev team, 2000, 8.6[34], ?, 08/08/19, X, Debian, live, Gratis, Active
Kodibuntu, The XBMC Project, Team Kodi, 2008, ?, ?, ?, X, Debian  Ubuntu, multimedia, Gratis, Inactive
Korora, Chris Smart, Dev Team, 2005, 26[35], ?, 16/09/17, X, Fedora, desktop, Gratis, Inactive
LibreCMC, LibreCMC team, LibreCMC team, 2010, 1.4.8[36], ?, 30/06/19, 100% Free: GNU FSDG, Merged from LibreWRT, embedded systems, Gratis, Active
Linspire, Linspire  Inc., Linspire  Inc., 2001, 7.0 SP1[37], ?, 08/04/18, X, Ubuntu, ?, Commercial[38], Active
Linux Mint, Clement Lefebvre, dev team, 2006, 19.2[39], ~3 years (LMDE); 5 years (main editions), 02/08/19, X, Debian(LMDE)  Ubuntu (LTS versions), desktop, Gratis, Active
Linux Lite, Jerry Bezencon, Linux Lite Team, 2012, 4.4[40], ?, 01/11/18, X, Ubuntu, desktop, Gratis, Active
Mageia, Mageia Community, mageia.org, 2010, 7.1[41], 1 year, 01/07/19, X, Mandriva Linux, general, Gratis, Active
Mandriva Linux, Mandrakesoft S.A., Mandriva S.A., 1998, 2011, ?, 28/08/11, X, Red Hat Linux, general, Some editions are gratis, Inactive
Manjaro Linux, Roland Singer, dev team, 2012[42], Rolling, Rolling, Rolling, X, Arch Linux, general, Gratis, Active
MEPIS, Warren Woodford, MEPIS LLC, 2003, 11/09/90, ?, ?, X, Debian, desktop  server, Gratis, Inactive
Musix GNU+Linux, Musix team, Musix team, 2008, 3.0.1, ?, 13/03/14, 100% Free: GNU FSDG, Debian, multimedia, Gratis, Active
Netrunner, Blue Systems, dev team, 2009, 2018.08[43], as per Debian Testing or Manjaro (rolling), 11/03/18, X, Debian  Manjaro/Arch, desktop, Gratis, Active
NixOS, Eelco Dolstra and Armijn Hemel, NixOS Foundation, 2003, 19/03/19, 0.5 years, 02/05/19, X, –, general  server  desktop, Gratis, Active
Novell Open Enterprise Server, Novell, Novell  Inc. dev team, 2003, OES 2018 SP1, ?, ?, X, SUSE Linux Enterprise Server, server, Commercial[44], Active
OpenELEC, Stephan Raue  OpenELEC Team, OpenELEC Team, 2011, 8.0.4, ?, 04/06/17, X, Kodi, multimedia, Gratis, Active
openSUSE, SUSE Linux  Novell, openSUSE Project, 2006, Leap 15.1[45], 3 years[46], 22/05/19, X, –, general  desktop, Gratis, Active
OpenWrt, ?, OpenWrt team, 2007, 18.06.4[47], ?, 01/07/19, X, –, embedded systems, Gratis, Active
OpenMandriva Lx, OpenMandriva Association, OpenMandriva Association, 2013, 01/04/00, ?, 12/05/19, 100% Free: GNU FSDG, Mandriva Linux, general, Gratis, Active
Oracle Linux, Oracle Corporation, Oracle Corporation, 2006, 7.6[48], ?, 07/11/18, X, Red Hat Enterprise Linux (RHEL), server, Gratis, Active
Parabola GNU/Linux-libre, Parabola Hackers, Parabola Hackers, 2009, Rolling[49], Rolling, 28/05/17, 100% Free: GNU FSDG followed in Parabola Social Contract, Arch Linux, general, Gratis, Active
Pardus, Scientific and Technological Research Council of Turkey (TÜB?TAK), TÜB?TAK, 2005, 17.5[50], ?, 03/11/18, X, "Gentoo (2011.2)
Debian", general, Gratis, Active
Parsix, Alan Baghumian, Parsix Project, 2005, 01/08/15, ?, 25/01/17, X, Debian, desktop, Gratis, Inactive
PCLinuxOS, Bill Reynolds, dev team, 2003, 2019.06[51], Semi-rolling, 16/06/19, X, Mandriva Linux, desktop, Gratis, Active
Pop! OS, Carl Ritchell, System76, 2017, 19/10/19, ?, 19/10/19, X, Ubuntu, desktop  server  laptop, Gratis, Active
Pentoo, Michael Zanetta  Rick Farina  Jens Pranaitis, Pentoo, 2005, 2019.1, ?, 17/01/19, X, Gentoo Linux, auditing  security, Gratis, Active
Porteus, Fanthom, Porteus, 2010, 4.0[52], ?, 29/04/18, X, Slackware, lightweight  portable, Gratis, Active
Puppy Linux, Barry Kauler, Puppy Foundation, 2003, 8.0[53], ?, 11/04/19, X, Independent  inspired from Vector linux, lightweight  portable, Gratis, Active
Qubes OS, Joanna Rutkowska, Invisible Things Lab, 2012, 4.0.1[54], ?, 09/01/19, X, Xen and Fedora, security by compartmentalization  desktop, Gratis, Active
Red Hat Enterprise Linux (RHEL), Red Hat, Red Hat, 2002, 01/08/00, 10 years[55], 07/05/19, X, Red Hat Linux  Fedora, server  workstation, Commercial[56][57], Active
Red Hat Linux, Red Hat, Red Hat, 1995, 9, ?, 31/03/03, X, –, server  workstation, Gratis, Inactive
ROSA, ?, LLC NTC IT ROSA, 2011, R11[58], ?, 15/03/19, X, Mandriva, server  general, Gratis, Active
