Software Name, Developer, First public release, Predecessor, Latest Stable version / (Date), Operating system, Price in USD, License, Microsoft Office (.doc  .xls) support, Microsoft Office Open XML support, OpenDocument support, Portable Document Format support
Ability Office, Ability Plus Software, 1995, —, 6.00, Windows, {{Nonfree|49.99 - 59.99}}, {{proprietary}}, {{yes}}, {{yes}}, {{no|Planned for a future version}}, {{yes2}} Export
Apache OpenOffice, Apache Software Foundation, 2012 May, OpenOffice.org  StarOffice, {{Latest stable software release/Apache OpenOffice}}, Windows  Mac OS  Linux  BSD  Unix  Solaris/Illumos, {{free}}, {{free|Apache License 2.0}}, {{yes}}, {{yes2}} Import-only, {{yes|Native format}}, {{yes|Export and Import with free plugin}}
Breadbox Office, Breadbox Computer Company, 1990, —, 4.1.3.0, DOS  Windows, {{Nonfree|99.95}}, {{proprietary}}, {{no}}, {{no}}, {{no}}, {{no}}
Calligra Suite, KDE, 2011, KOffice, {{Latest stable software release/Calligra Suite}}, Windows  Mac OS  Linux  BSD  Solaris/Illumos, {{free}}, {{free|GNU LGPL and GNU GPL}}, {{yes2}} Import, {{yes2}} Import, {{yes|Native format}}, {{yes2}} Export[1]
Feng Office Community Edition, Feng Office, 2007, —, 1.6.1, Fully online, {{free}}, {{free|GNU AGPL}}, {{no}}, {{no}}, {{no}}, {{no}}
GobeProductive, Gobe Software, 1998, —, 3.04 / 2.01, Windows  BeOS, {{Nonfree|49.95}}, {{proprietary}}, {{yes}}, {{no}}, {{no}}, {{no}}
G Suite (formerly Google Apps for Work), Google, 2006, Writely, 2014, Fully online, {{depends| 60.00 per account per year (free trial 30 days); free for some versions (education  non-profit)}}, {{proprietary}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}
Google Docs, Google, 2006, Writely, 2014, Fully online, {{free}}, {{proprietary}}, {{yes}}, {{yes}}[2], {{yes}}, {{yes}}
iWork, Apple Inc., 2005, AppleWorks[3], Pages 8.0 / Numbers 6.0 / Keynote 9.0.1 ({{release date and age|2018|11|12}}), Mac OS  iOS  online, {{free}}, {{proprietary}}, {{yes}}, {{yes2}} Import, {{no}}, {{yes2}} Export
LibreOffice, The Document Foundation formerly Sun Microsystems and Go-oo, 2010 September, OpenOffice.org  Go-oo StarOffice, {{Latest stable software release/LibreOffice}}, Windows  Mac OS  Linux  BSD  Unix  Solaris/Illumos, {{free}}, {{free|GNU LGPL}}, {{yes}}, {{yes}}, {{yes|Native format}}, {{yes}}
Lotus SmartSuite, IBM, 1992 [4], —, 9.8, Windows  OS/2, {{Nonfree|313.00}}, {{proprietary}}, {{yes}}, {{no}}, {{no}}, {{no}}
