Name, Developer, First release date, Last release, Last release date, License
Apache MINA SSHD, Apache Software Foundation, 2009, 2.3.0, 2019-07-15[1], {{free|Apache License v2}}
CopSSH, Itefix, 2003-08-12, 6.4.0, 2018-10-20[2], {{Proprietary}}  Free for non-commercial use
CrushFTP Server, CrushFTP  LLC, 2003-01-01, 9.0.0, 2018-10-30, {{Proprietary}}  shareware
Dropbear, Matt Johnston, 2003-04-06[3], 2019.78, 2019-03-27[4], {{free|MIT}}
lsh, Niels Möller, 1999-05-23[5], 2.1, 2013-06-26, {{free|GPL}}
OpenSSH (OpenBSD Secure Shell), The OpenBSD project, 1999-12-01, 8.0, 2019-04-18[6], {{free|BSD}}
