Slax, {{Proprietary|Binary blobs}}, SquashFS, sysvinit, KDE Plasma Workspaces, {{no}}
SliTaz GNU/Linux, {{Proprietary|Binary blobs}}, ext3, busybox-init, Openbox, {{no}}
Solus, {{Proprietary|Binary blobs}}, ext4, systemd, Budgie  Gnome  MATE, {{no}}
Source Mage GNU/Linux, {{Proprietary|Binary blobs}}, ext2, simpleinit-msb, {{no2}} none, {{no}}
SteamOS, {{Proprietary|Binary blobs}}, {{dunno}}, systemd, {{Proprietary|Steam}}, {{no}}
SUSE Linux Enterprise Desktop, {{Proprietary|Binary blobs}}[80], btrfs[100], systemd, GNOME, {{no}}
Tails, {{Proprietary|Vanilla Linux}}[80], {{dunno}}, systemd, GNOME, {{no}}
Tor-ramdisk, {{Proprietary|Binary blobs}}, ext2, {{dunno}}, {{no2}} none, {{no}}
Trisquel, {{Free|Linux-libre}}, ext4  xfs, systemd, GNOME  LXDE, {{no}}
TurnKey GNU/Linux, {{Proprietary|Binary blobs}}, ext4, systemd, none - headless server by design; provides Webmin for administration, {{no}}
Ubuntu/Edubuntu, {{Proprietary|Binary blobs}}[80], ext4[101], systemd, Unity, {{no}}
Ubuntu GNOME, {{Proprietary|Binary blobs}}, ext4, systemd, GNOME 3, {{no}}
Ubuntu MATE, {{Proprietary|Binary blobs}}, ext4, systemd, MATE, {{no}}
Kubuntu, {{Proprietary|Binary blobs}}, ext4[101], systemd, KDE Plasma Workspaces, {{no}}
Xubuntu, {{Proprietary|Binary blobs}}, ext4[101], systemd, Xfce, {{no}}
Lubuntu, {{Proprietary|Binary blobs}}, ext4, systemd, LXQt, {{no}}
Ututo, {{Free|Ututo XS (stable) is de-blobed with Linux-libre tools.[102] Ututo UL (development) uses Linux-libre. Ututo UL means "Ubuntu-Libre"}}, ext3, systemd, GNOME, {{no}}
VectorLinux, {{Proprietary|Binary blobs}}, ReiserFS, sysvinit, KDE  Openbox  Fluxbox  IceWM  Xfce, {{no}}
Void Linux, {{Proprietary|Binary blobs}}, none, runit, {{no2}} none, {{no}}
Webconverger, {{Proprietary|Binary blobs}}, gitfs, sysvinit, dwm enforcing a Browser-only interface, {{no}}
XBMC Live, {{Proprietary|Binary blobs}}, ext3, systemd, XBMC Media Center, {{no}}
Zentyal, {{Proprietary|Binary blobs}}, ext4, systemd, LXDE, {{no}}
Zenwalk, {{Proprietary|Binary blobs}}, ext4, sysvinit, Xfce, {{no}}
Distribution, Default Linux kernel, Default file system, Default init system, Install-time desktop environment or window manager selection, Reproducible builds
