Unit, Base, American, British, ANZAC, Soviet, French, German, Italian, Japanese
 {{ship|German aircraft carrier|Graf Zeppelin||2}}, , , , , , {{yes|Europe}}, {{okay|Anniversary}}, 
 {{sclass-|Illustrious|aircraft carrier|4}}, , {{yes|Europe}}, {{okay|Pacific 1940}}, {{yes|Europe}}, {{yes|Europe 1940}}, , , 
 {{sclass-|Kostromitinova|aircraft carrier|4}}, {{yes|1941}}, {{yes|1941}}, , {{yes|1941}}, , , , 
 Majestic class, , , {{yes|1942 Second Edition}}, , , , , 
 {{ship|Japanese aircraft carrier|Shinano||2}}, , , , , , , , {{yes|Pacific}}
 {{USS|Wasp|CV-7|2}}, {{yes|Europe}}, , , , , , , 
 Battleship, {{sclass-|Bismarck|battleship|4}}, , , , , , {{yes|Europe}}, {{okay|Anniversary}}, 
 {{sclass-|Gangut|battleship|4}}, , , , {{yes|1942}}, {{yes|Europe 1940}}, , , 
 {{HMS|Hood|51|2}}, {{yes|1941}}, {{yes|1941}}, , {{yes|1941}}, , , , 
 {{sclass-|Iowa|battleship|4}}, {{yes|Europe}}, , , , , , , 
 Kongo class, , , , , , {{yes|1941}}, , {{yes|1941}}
 {{sclass-|Littorio|battleship|4}}, , , , , , , {{yes|Europe 1940 Second Edition}}, 
 Royal Oak class, , {{yes|Europe}}, {{okay|Pacific 1940}}, {{okay|Europe}}, , , , 
 {{HMS|Warspite|03|2}}, , , {{yes|1942 Second Edition}}, , , , , 
 {{sclass-|Yamato|battleship|4}}, , , , , , , , {{yes|Pacific}}
 Fighter, C.202, , , , , , , {{yes|Europe 1940 Second Edition}}, 
 CA-12, , , {{yes|Pacific 1940 Second Edition}}, , , , , 
 Fw 190, , , , , , {{yes|1941}}, , {{yes|1941}}
 Bf 109, , , , , , {{yes|Anniversary}}, {{okay|Anniversary}}, 
 MiG-3, , , , {{yes|Pacific 1940 Second Edition}}, {{yes|Pacific 1940 Second Edition}}, , , 
 P-38 Lightning, {{yes|Europe}}, , , , , , , 
 P-40 Warhawk, {{yes|1941}}, {{yes|1941}}, , {{yes|1941}}, , , , 
 Spitfire, , {{yes|Europe}}, {{okay|Pacific 1940}}, , , , , 
 Stuka, , , , , , {{okay|Europe}}, , 
 Wildcat, {{okay|Pacific}}, , , , , , , 
 Yak, , , , {{okay|Europe}}, {{okay|Europe 1940}}, , , 
 Zero, , , , , , , , {{yes|Pacific}}
 Tactical Bomber, Dauntless, {{yes|Pacific 1940}}, , , , , , , 
 Mosquito, , {{yes|Pacific 1940}}, {{okay|Pacific 1940}}, , , , , 
 SM.79, , , , , , , {{yes|Europe 1940 Second Edition}}, 
 Stuka, , , , , , {{yes|Europe 1940}}, {{okay|Europe 1940}}, 
 Sturmovik, , , , {{yes|Europe 1940}}, {{yes|Europe 1940}}, , , 
 TB.Mk.I, , , {{yes|Pacific 1940 Second Edition}}, , , , , 
 Val, , , , , , , , {{yes|Pacific 1940}}
 Bomber, B-17, {{yes|Europe}}, , , , , , , 
 Betty, , , , , , , {{okay|Anniversary}}, {{yes|Pacific}}
 Halifax, , {{yes|Europe}}, {{okay|Pacific 1940}}, , , , , 
 He 111, , , , , , {{yes|1941}}, , {{yes|1941}}
 Ju 88, , , , , , {{yes|Europe}}, {{okay|Europe 1940}}, 
 Lancaster, {{yes|1941}}, {{yes|1941}}, , {{yes|1941}}, , , , 
 P.108, , , , , , , {{yes|Europe 1940 Second Edition}}, 
 Pe-8, , , , {{yes|Europe}}, {{yes|Europe 1940}}, , , 
 PV-1, , , {{yes|Pacific 1940 Second Edition}}, , , , , 
 
