Client, Publisher, First public release, Type, Latest stable version, License
 Meetro, Paul Bragiel & Samuel Stauffer, {{Start date and age|2005}}, Multi-protocol, Windows: 0.96 beta OS X: 0.53 beta, {{Terminated|Discontinued}}
 Messages, Apple Inc., {{Start date and age|2012|07|25}}, Multi-protocol, 8.1.3 ({{Start date and age|2015|01|27}}), {{Included|Part of macOS and iOS}}
 Skype for Business, Microsoft, {{Start date and age|2005}}, Single-protocol, 2013 ({{Start date and age|2012|10|02}}), Proprietary Trialware
 Miranda IM, Miranda IM project, {{Start date and age|2000|02|06}}, Multi-protocol, {{Latest stable software release/Miranda IM}}, {{free|GPL}}
 Mysms, sms.at mobile internet services gmbh, {{Start date and age|2011}}, Single-protocol, {{dunno}}, Proprietary Freemium
 MySpaceIM, MySpace, {{Start date and age|2006|05|09}}, Single-protocol, 1.0.754.0 ({{Start date and age|2008|02|07}}), Proprietary Freeware
 naim, Daniel Reed, {{Start date and age|1998|10|05}}, Multi-protocol, 0.11.8.3.1 ({{Start date and age|2007|07|09}}), {{free|GPL}}
 Nimbuzz, Evert Jaap Lugt, {{Start date and age|2006}}, Multi-protocol, {{Latest stable software release/Nimbuzz}}, {{Terminated|Discontinued}} (was Proprietary Freeware)
 Palringo, Palringo Ltd, {{Start date and age|2006}}, Single-protocol, iOS: 9.0.1 ({{Start date and age|2019|09|16}}) Android: 9.1.1 ({{Start date and age|2019|10|01}}), Proprietary Freemium
 Paltalk, AVM Software  Inc, {{Start date and age|1998|06}}, Multi-protocol, iOS: 7.7.2 ({{Start date and age|2019|09|25}})[20] Android: 7.8.1.7852 ({{Start date and age|2019|10|02}})[21], Proprietary Freeware
 Pidgin, Mark Spencer, {{Start date and age|1998|11}}, Multi-protocol, {{Latest stable software release/Pidgin}}, {{free|GPL}}
 Psi, Psi and Psi+ developers, {{Start date and age|2001}}, Single-protocol, {{Latest stable software release/Psi}}, {{free|GPL}}
 Quiet Internet Pager (QIP), Ilgam Zyulkorneev, {{Start date and age|2004}}, Multi-protocol, {{Latest stable software release/Quiet Internet Pager}}, Proprietary Freeware
 
