Assembler, Open source, License, Instruction set, Host platform, Development active
ASM-One Macro Assembler, {{no}}, {{free}}, Motorola 680x0, Commodore Amiga, {{no}}
vasm, {{no}}, {{Proprietary}}, Motorola 680x0, various, {{yes}}
