Vehicle, Origin, Manufacturer, Mass to ... (kg), Launches {{small|(+ suborbital)}}, Date of flight
 LEO, GTO, Other, First, Last
 Delta 3920, {{USA}}, McDonnell Douglas, {{nts|3452}}[218], {{nts|1284}} with PAM-D, , {{nts|10}}[218], 1982, 1989
 Delta 3924, {{USA}}, McDonnell Douglas, , {{nts|1104}}[218], , {{nts|4}}[218], 1982, 1984
 Delta 4925, {{USA}}, McDonnell Douglas, {{nts|3400}}[230], {{nts|1312}}[218], , {{nts|2}}[218], 1989, 1990
 Delta 5920, {{USA}}, McDonnell Douglas, {{nts|3848}}[231], , , {{nts|1}}[218], 1989, 1989
 Delta II 6920, {{USA}}, McDonnell Douglas, {{nts|3983}}[218], , , {{nts|3}}[218], 1990, 1992
 Delta II 6925, {{USA}}, McDonnell Douglas, , {{nts|1447}}[218], , {{nts|14}}[218], 1989, 1992
 Delta II 7320, {{USA}}, Boeing IDS / ULA, {{nts|2865}}[218], , {{nts|1651}} to SSO, {{nts|12}}[218], 1999, 2015
 Delta II 7326, {{USA}}, Boeing IDS, , {{nts|934}}[218], {{nts|636}} to TLI 629 to HCO, {{nts|3}}[218], 1998, 2001
 Delta II 7420, {{USA}}, ULA, {{nts|3185}}[218], , {{nts|1966}} to SSO, {{nts|14}}[218], 1998, 2018
 Delta II 7425, {{USA}}, Boeing IDS, , {{nts|1100}}[218], {{nts|804}} to HCO, {{nts|4}}[218], 1998, 2002
 Delta II 7426, {{USA}}, Boeing IDS, , {{nts|1058}}[218], {{nts|734}} to TLI 711 to HCO, {{nts|1}}[218], 1999, 1999
 Delta II 7920, {{USA}}, Boeing IDS / ULA, {{nts|5030}}[218], , {{nts|3123}} to SSO, {{nts|29}}[218], 1998, 2017
 Delta II 7925, {{USA}}, Boeing IDS / ULA, , {{nts|1819}}[218], {{nts|1 177}} to TLI 1 265 to HCO, {{nts|69}}[218], 1990, 2009
 Delta II-H 7920H, {{USA}}, Boeing IDS / ULA, {{nts|6097}}[218], , , {{nts|3}}[218], 2003, 2011
 Delta II-H 7925H, {{USA}}, Boeing IDS / ULA, , {{nts|2171}}, {{nts|1 508}} to HCO[218], {{nts|3}}[218], 2003, 2007
 Delta III 8930, {{USA}}, Boeing IDS, {{nts|8292}}[218], {{nts|3810}}, , {{nts|3}}[218], 1998, 2000
 Delta IV M, {{USA}}, Boeing IDS, {{nts|9440}}[41], {{nts|4440}}, {{nts|7690}} to polar, {{nts|3}}[42], 2003, 2006
 Delta IV M+(4 2), {{USA}}, ULA, {{nts|13140}}[41], {{nts|6390}}, {{nts|10250}} to polar, {{nts|14}}[42], 2002, 2019
 Delta IV M+(5 2), {{USA}}, ULA, {{nts|11470}}[41], {{nts|5490}}, {{nts|9600}} to polar, {{nts|3}}[42], 2012, 2018
 Delta IV M+(5 4), {{USA}}, ULA, {{nts|14140}}[41], {{nts|7300}}, {{nts|11600}} to polar, {{nts|8}}[42], 2009, 2019
 Diamant, {{FRA}}, SEREB, {{nts|107}}[232][233], , , {{nts|12}}, 1965, 1975
 Dnepr, {{UKR}}, Yuzhmash, {{nts|3700}}[234], , , {{nts|22}}[234], 1999, 2015[235]
 Energia[236], {{USSR}}, NPO Energia, {{nts|100000}}[237], , {{nts|20000}} to GEO[237] 32 000 to TLI[237], {{nts|1}} (failed to orbit)[238], 1987, 1987
 Energia-Buran, {{USSR}}, NPO Energia (Launcher) NPO Molniya (Orbiter), {{nts|30000}}[237] [239], , , {{nts|1}}, 1988, 1988
 Falcon 1, {{USA}}, SpaceX, {{nts|470}}[240], , , {{nts|5}}[240], 2006, 2009
 Falcon 9 v1.0, {{USA}}, SpaceX, {{nts|10 450}}[241], {{nts|4 540}}[241], , {{nts|5}}[242], 2010, 2013
 Falcon 9 v1.1, {{USA}}, SpaceX, {{nts|13 150}}[243][244], {{nts|4 850}}[244], , {{nts|15}}[242], 2013, 2016
 Feng Bao 1, {{CHN}}, Shanghai Bureau No.2, {{nts|2 500}}[245], , , {{nts|8}} (+3)[246], 1972, 1981
 GSLV Mk.I(a), {{IND}}, ISRO, {{nts|5000}}[63], {{nts|1540}}[247], , {{nts|1}}[247], 2001, 2001
 GSLV Mk.I(b), {{IND}}, ISRO, {{nts|5000}}[63], {{nts|2150}}[247], , {{nts|4}}[247], 2003, 2007
 GSLV Mk.I(c), {{IND}}, ISRO, {{nts|5000}}[63], , , {{nts|1}}[247], 2010, 2010
 H-I, {{JPN}} {{USA}}, Mitsubishi, {{nts|1400}}[248], , , {{nts|9}}, 1986, 1992
 H-II / IIS, {{JPN}}, Mitsubishi, {{nts|10060}}[249], {{nts|4000}}[250], , {{nts|7}}[250], 1994, 1999
 H-IIA 2022, {{JPN}}, Mitsubishi, , {{nts|4500}}[70], , {{nts|3}}[70], 2005, 2007
 H-IIA 2024, {{JPN}}, Mitsubishi, {{nts|11000}}[251], {{nts|5000}}[70], , {{nts|7}}[70], 2002, 2008
 J-I, {{JPN}}, Nissan Motors[252], {{nts|1000}}[253], , , {{nts|0}} (+1), 1996, 1996
 Kaituozhe-1, {{CHN}}, CALT, {{nts|100}}[254], , , {{nts|2}}, 2002, 2003
 Kosmos-3M, {{USSR}} {{RUS}}, NPO Polyot, {{nts|1500}}[255], , , {{nts|442}}[256], 1967, 2010
 Lambda 4S, {{JPN}}, Nissan Motors[252], {{nts|26}}[257], , , {{nts|5}}, 1966, 1970
 Long March 1, {{CHN}}, CALT, {{nts|300}}[258], , , {{nts|2}}[259], 1970, 1971
 Long March 1D, {{CHN}}, CALT, {{nts|740}}[260], , , {{nts|0}} (+3)[259], 1995[261], 2002
 {{nowrap|Long March 2A}}, {{CHN}}, CALT, {{nts|2000}}[262], , , {{nts|4}}[89], 1974, 1978
 Long March 2E, {{CHN}}, CALT, {{nts|9200}}[89], , , {{nts|7}}[89], 1990, 1995
 Long March 3, {{CHN}}, CALT, {{nts|5000}}[91], , , {{nts|13}}[91], 1984, 2000
 Long March 3B, {{CHN}}, CALT, {{nts|11 200}}[90], {{nts|5 100}}, {{nts|5 700}} to SSO, {{nts|12}}[91], 1996, 2012
 Long March 4A, {{CHN}}, CALT, {{nts|4000}}, , , {{nts|2}}[92], 1988, 1990
 M-V, {{JPN}}, {{nobr|Nissan Motors}}[252] (1997–2000) {{nobr|IHI Aerospace}}[45] (2000–2006), {{nts|1850}}[257], , , {{nts|7}}, 1997, 2006
 Molniya, {{USSR}}, RSC Energia, {{nts|1800}}[263], , , {{nts|40}}[264], 1960, 1967
 Molniya-M, {{USSR}} {{RUS}}, RSC Energia, {{nts|2400}}[265], , , {{nts|280}}[266], 1965, 2010
 Mu-3C, {{JPN}}, Nissan Motors[252], {{nts|195}}[257], , , {{nts|4}}, 1974, 1979
 Mu-3H, {{JPN}}, Nissan Motors[252], {{nts|300}}[257], , , {{nts|3}}, 1977, 1978
 Mu-3S, {{JPN}}, Nissan Motors[252], {{nts|300}}[257], , , {{nts|4}}, 1980, 1984
 Mu-3SII, {{JPN}}, Nissan Motors[252], {{nts|770}}[257], , , {{nts|8}}, 1985, 1995
 Mu-4S, {{JPN}}, Nissan Motors[252], {{nts|180}}[257], , , {{nts|4}}, 1971, 1972
 N1, {{USSR}}, NPO Energia, {{nts|95000}}[267] [268][269][270], , , {{nts|4}}[271] (never reached orbit), 1969, 1972
 N-I, {{JPN}} {{USA}}, Mitsubishi, {{nts|1200}}[272], , , {{nts|7}}, 1975, 1982
 N-II, {{JPN}} {{USA}}, Mitsubishi, {{nts|2000}}[273], , , {{nts|8}}, 1981, 1987
 Naro-1, {{KOR}} {{RUS}}, KARI/Khrunichev, {{nts|100}}[274], , , {{nts|3}}, 2009, 2013
 Paektusan, {{flag|North Korea}}, KCST, {{nts|700}}[275], , , {{nts|0}} (+1), 1998, 1998
 Polyot, {{USSR}}, RSC Energia, {{nts|1400}}, , , {{nts|2}}, 1963, 1964
 Proton-K, {{USSR}} {{RUS}}, Khrunichev, {{nts|19760}}[276], {{nts|4930}}[277], , {{nts|311}}[278], 1965, 2012
 PSLV-G, {{IND}}, ISRO, {{nts|3200}}[135], {{nts|1050}}, {{nts|1600}} to SSO, {{nts|12}}[135], 1993, 2016[279]
 Saturn I, {{USA}}, Chrysler (S-I) Douglas (S-IV), {{nts|9000}}[280], , , {{nts|10}}[281], 1961, 1965[281]
 Saturn IB, {{USA}}, Chrysler (S-IB) Douglas (S-IVB), {{nts|18600}}[282], , , {{nts|9}}[283], 1966, 1975
 Saturn V, {{USA}}, Boeing (S-IC) North American (S-II) Douglas (S-IVB), {{nts|140000}}[284][285], , {{nts|47000}} to TLI[286], {{nts|13}}[287][288] [289], 1967, 1973
 Scout, {{USA}}, US Air Force/NASA, {{nts|174}}[290], , , {{nts|125}}, 1961, 1994
 Shtil', {{RUS}}, Makeyev, {{ntsh|420}} 280–420[291], , , {{nts|2}}[292], 1998, 2006
 SLV, {{IND}}, ISRO, {{nts|40}}[293], , , {{nts|4}}[293], 1979, 1983[293]
 Soyuz, {{USSR}}, RSC Energia, {{nts|6450}}, , , {{nts|31}}[294], 1966, 1976
 Soyuz-FG, {{RUS}}, TsSKB-Progress, {{nts|6900}}[295], , , {{nts|70}}[145][296], 2001, 2019
 Soyuz-L, {{USSR}}, RSC Energia, {{nts|5500}}, , , {{nts|3}}[297], 1970, 1971
 Soyuz-M, {{USSR}}, RSC Energia, {{nts|6600}}, , , {{nts|8}}[298], 1971, 1976
 Soyuz-U, {{USSR}} {{RUS}}, TsSKB-Progress, {{nts|6650}} from Baikonour[299] {{nts|6150}} from Plesetsk[299], , , {{nts|786}}[145][146][300], 1973, 2017
 Soyuz-U2, {{USSR}} {{RUS}}, TsSKB-Progress, {{nts|7050}}, , , {{nts|72}}[301], 1982, 1995
 Space Shuttle, {{USA}}, ATK (SRBs) Martin Marietta (External tank) Rockwell (Orbiter), {{nts|24400}}[239], {{plainlist| {{nts|4944}} with IUS[302] {{nts|1200}} with PAM-D[303] }}, {{nts|3550}} to escape with IUS[302], {{nts|135}}[304], 1981, 2011
 Sputnik 8K71PS, {{USSR}}, RSC Energia, {{nts|500}}[305], , , {{nts|2}}, 1957, 1957
 Sputnik 8A91, {{USSR}}, RSC Energia, {{nts|1327}}, , , {{nts|2}}, 1958, 1958
 Start-1, {{RUS}}, MITT, {{nts|532}}, , {{nts|350}} to SSO[306], {{nts|5}}[307], 1993, 2006
 Strela, {{RUS}}, Khrunichev, {{nts|1400}}[308], , , {{nts|3}}[309], 2003, 2014
 Titan II GLV, {{USA}}, Martin Marietta, {{nts|3600}}[310], , , {{nts|11}} (+1), 1964, 1966
 Titan II(23)G, {{USA}}, Martin Marietta, {{nts|3600}}[311], , , {{nts|13}}, 1988, 2003
 Titan IIIA, {{USA}}, Martin Marietta, {{nts|3100}}[312], , , {{nts|4}}, 1964, 1965
 Titan IIIB, {{USA}}, Martin Marietta, {{nts|3000}}[313], , , {{nts|70}}, 1966, 1987
 Titan IIIC, {{USA}}, Martin Marietta, {{nts|13100}}[314], , , {{nts|36}}, 1965, 1982
 Titan IIID, {{USA}}, Martin Marietta, {{nts|12300}}[315], , , {{nts|22}}, 1971, 1982
 Titan IIIE, {{USA}}, Martin Marietta, {{nts|15400}}[316], , , {{nts|7}}, 1974, 1977
 Titan 34D, {{USA}}, Martin Marietta, {{nts|4515}}[317], , , {{nts|15}}, 1982, 1989
 Titan IVA, {{USA}}, Martin Marietta, {{nts|17110}}[318], {{nts|4 944}} with IUS, {{plainlist| {{nts|14 090}} to SSO[318] {{nts|4 536}} to GSO with Centaur {{nts|3 550}} to escape with IUS }}, {{nts|22}}[319], 1989, 1998
 Titan IVB, {{USA}}, Lockheed Martin, {{nts|21 682}}[320], {{nts|5 761}}[320] (9 000 with upper stage), , {{nts|17}}[319], 1997, 2005
 Tsyklon-2A, {{USSR}}, Yuzhmash, {{nts|3350}}[321], , , {{nts|8}}[322], 1967, 1969
 Tsyklon-2, {{USSR}} {{UKR}}, Yuzhmash, {{nts|2820}}[323], , , {{nts|106}}[324], 1969, 2006[324]
 Tsyklon-3, {{USSR}} {{UKR}}, Yuzhmash, {{nts|1920}}[325], , , {{nts|122}}[326], 1977, 2009[326]
