Feature, Android, iOS, Windows 10 Mobile, BlackBerry 10, Tizen, Sailfish OS, Ubuntu Touch
Multitasking, {{Yes}}, {{Yes|7+;}}[432] 4–6: Limited[433], {{Yes|8+}} [434] 7.5: Limited, {{Yes}}, {{Yes|2+}}[165], {{Yes}}, {{Yes}}
Quick app switching, {{Yes|7+}}[435], {{Yes|9+:}} via 3D Touch;[436] 5+: only on iPad[437], {{Rarely|via Back button when no back history}}, {{No}}, {{No}}, {{No}}, {{Yes}}
Document-centric multitasking, {{Yes|5+}}[438], {{Rarely|13+: can open different views of same app side by side}}[439], {{No}}, {{No}}, {{No}}, {{No}}, {{No}}
Split-screen app usage, {{Yes|7+  some manufacturers earlier}}[440], {{Rarely|9+:}} only on iPad with 2 GB RAM or more[441], {{No2}}No  3rd party software like Monument Browser[442], {{No2}}No  3rd party software[443], {{Yes}}[444], {{No2}}No [445], {{Rarely|Tablet-only}}
Desktop interactive widgets, {{Yes}}, {{Yes|10+: App icons via 3D Touch and/or dedicated widget screen}}[446], {{No}} (Live Tiles are not interactive)[447], {{No}}, {{No}}, {{Yes}}, {{No}}
Lock screen widgets, {{Yes}} (Notifications and settings). Full Widgets on Android 4.2–4.4 only.[448][449], {{Yes|Media player  voicemail  camera;[450] 5+: Notifications; 7+: Control Center 8+: Interactive Notifications[451] 10+: Full widgets[446]}}, {{Okay|Media Player; 8+: Live Apps and notifications}}[452], {{Yes}}  interactive notifications  camera  alarm, {{Okay|Media player; Notifications (SMS  call)}}, {{Yes}}, {{No}}
Notification view widgets, {{Yes|4.1+: Google Now and possible with 3rd party apps}}, {{Yes|8+}}, {{No}}, {{Yes}}  BB 10.2, {{No}}, {{Yes}}, {{No}}
Quick settings toggles, {{Yes|2+}}[453], {{Yes|7+}}[454], {{Yes|8.1+}}[101], {{Yes|10+}}  customizable in 10.2.1+[455], {{No}}, {{No2|Via the Patchmanager app[456]}}, {{Yes}}
Search multiple internal apps at once, {{Yes}}, {{Yes}}, {{Yes|8.1+}}[457], {{Yes}}, {{Yes}}, {{No}}[458], {{Yes}}
Settings search, {{Yes|5+}} or 3rd party software like LineageOS[459], {{Yes|9+}}[460], {{Yes|8.1update2+}}[53], {{Yes}}, {{No}}, {{No}}, {{Yes}}
Search all fields of internal objects, {{Okay|Only search Contacts name field but not any other field}}[461], {{Yes|6+}}[462], {{Okay|Contacts are searched by name  nick and company}} [463] but not other fields like address or notes[464], {{Yes}}[465], {{Okay|Only searches contacts by name}}, ?
Core apps missing search, Calendar[466] (available since 3+ and HTC Sense), Bookmarks[467], Video[468], ?, ?, ?, ?
Phone number links to dialer, {{Yes|Available in stock Android  but not all devices enable it.}}[469], {{Yes}}, {{Yes}}, {{Yes}}, {{Okay|Yes  but not in browser}}, {{Yes}}, {{Yes}}
Addresses links to maps, {{Okay|In Contacts  but not in Calendar}}[470] nor in Gmail[471], {{Yes}}[472], {{Yes}}[473], {{Yes}}[474], ?, {{Yes}}, ?
Dates links to calendar, {{No}}, {{Yes}}[475], {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, ?
