Distribution, Free software repositories, Approximate number of pre-compiled packages, Approximate number of source packages, Default package management tool(s), Package format, Default installer, Graphical installation process, Netinstall, Netboot
 openSUSE, {{Partial|Free  and nonfree}}, {{nts|34000}}, Tumleweed) counting the entris in the package database file http://download.opensuse.org/tumbleweed/repo/oss/repodata/662416e0920e2bc2bb5ca45e337dcab310325f28ab1e5661d6f876b8dc232103-susedata.xml.gz{{Dead link|date=April 2019 |bot=InternetArchiveBot |fix-attempted=yes }}. Count no architecture and 64bit architecture only to avoid duplicate count via grep 'package pkgid="' '/tmp/662416e0920e2bc2bb5ca45e337dcab310325f28ab1e5661d6f876b8dc232103-susedata.xml' | grep noarch | wc (which gives 16000 and grep 'package pkgid="' '/tmp/662416e0920e2bc2bb5ca45e337dcab310325f28ab1e5661d6f876b8dc232103-susedata.xml' | grep x86_64 | wc (which gives 19000). the script http://inai.de/files/dist/countpkg-suse3 -r 'openSUSE_(Factory|Tumbleweed)'  which inspects the project list from the openSUSE.org Build Service instance and discounts non-SUSE and home projects. Numbers for 13.2: 63438 bin  32707 src; for 42.1: 43401 bin  17428 src. This script seems to count all architectures  so the 63'000 suse number could then be compared to a 630'000 debian number - but debian does not support 10 times more software - so better only count the most popular architecture as for the other entries here., YaST  Zypper, RPM, YaST, {{yes}}, {{yes}}, {{dunno}}
 OpenWrt, {{Partial|Free  and nonfree}}, {{nts|2000}}, {{dunno}}, opkg, .ipk, -, {{no}}, {{dunno}}, {{dunno}}
 Parabola GNU/Linux-libre, {{Free|Free only}}, {{nts|23000}}[189], {{dunno}}, Pacman, .pkg.tar.xz, None (install scripts) or Calamares, {{yes}}, {{yes}}, {{dunno}}
 Pardus, {{Partial|Free  and nonfree}}, {{nts|4000}}, {{dunno}}, PiSi, .pisi, YALI, {{yes}}, {{dunno}}, {{dunno}}
 Parsix, {{Partial|Free  and nonfree}}, {{nts|29000}}, {{nts|14900}}, APT, .deb, , {{yes}}, {{dunno}}, {{dunno}}
 PCLinuxOS, {{Partial|Free  and nonfree}}, {{nts|12000}}, {{dunno}}, APT  RPM, RPM, , {{yes}}, {{dunno}}, {{dunno}}
 Puppy, {{Partial|Free  and nonfree}}, {{nts|700}}, {{dunno}}, PupGet  DotPup, .pup  .pet, , {{yes}}, {{dunno}}, {{dunno}}
 Red Hat Enterprise Linux, {{Partial|Free  and nonfree}}, {{nts|3000}} (plus {{nts|9155}} from EPEL[190]), {{dunno}}, RPM  yum, RPM, Anaconda, {{yes}}, {{dunno}}, {{dunno}}
 Rxart, {{Partial|Free  and nonfree}}, {{nts|5000}}, {{dunno}}, APT, .deb, , {{yes}}, {{dunno}}, {{dunno}}
 Sabayon Linux, {{Partial|Free  and nonfree}}, {{nts|13130|prefix=>}}, {{dunno}}, Portage  Entropy, ebuild  .tbz2, Calamares, {{yes}}, {{dunno}}, {{dunno}}
 Scientific, {{Partial|Free  and nonfree}}, {{dunno}}, {{dunno}}, APT/yum, RPM, , {{yes}}, {{dunno}}, {{dunno}}
 Slackware, {{Partial|Free  and nonfree}}, {{nts|2292}}, {{nts|7705}} from SlackBulids[191], slackpkg, tgz  .txz  .tlz  .tbz, bash script[192], {{no}}, {{yes}}, {{yes}}
 Slax, {{Partial|Free  and nonfree}}, {{nts|2050}}, {{dunno}}, none, .lzm, , , {{dunno}}, {{dunno}}
 SliTaz GNU/Linux, {{Partial|Free  and nonfree}}, {{nts|3381}}[193], {{dunno}}, Tazpkg, .tazpkg, tazinst, {{yes}}, {{yes|iPXE}}, {{yes|iPXE}}
 Solus, {{Partial|Free  and nonfree}}, {{nts|9500}}, {{dunno}}, eopkg, .eopkg, os-installer, {{yes}}, {{no}}, {{no}}
 Source Mage GNU/Linux, {{Partial|Free  and nonfree}}, {{nts|118}}, {{nts|8876}}, Sorcery Package Manager, src, , {{yes}}, {{dunno}}, {{dunno}}
 SUSE Linux, {{Partial|Free  and nonfree}}, {{nts|24094}}, {{nts|11385}}, YaST  Zypper, RPM, YaST, {{yes}}, {{dunno}}, {{dunno}}
 Tiny Core Linux, {{Partial|Free  and nonfree}}, {{nts|25160}}, {{dunno}}, ab  tce-load, tcz, tc-install  core2usb, {{yes}}, {{dunno}}, {{dunno}}
 Tiny SliTaz, {{Partial|Free  and nonfree}}, {{nts|50}}, {{dunno}}, Web site[194], tazpkg, 
