Country, Year, Mission
{{JPN}}, 1970, Lambda-4S/Ohsumi
{{CHN}}, 1970, Long March 1/Dong Fang Hong I
{{IND}}, 1980, SLV/Rohini D1
{{ISR}}, 1988, Shavit/Ofeq 1
{{IRN}}, 2009, Safir-1/Omid
{{PRK}}, 2012, Unha-3/Kwangmy?ngs?ng-3 Unit 2
