, Description, Creator, First public release date, Latest stable version, Latest Stable Release Date, List Price (USD), Software license
 Krita, Digital painting oriented free and open-source raster graphic editor with vector support. KDE/Calligra based., KDE, {{dts|2005}}, 4.2.2, {{dts|2019|06|27}}, , {{free|GPL}}
 LazPaint, Free multiplatform layered image editor, circular, {{dts|2011}}, 6.2, , , {{free|GPL}}
 LiveQuartz, Basic multi-layer photo editor, Romain Piveteau, {{dts|2005}}, 2.8, December 1  2018, , {{proprietary}}
 MacPaint*, Obsolete basic editor, Bill Atkinson, {{dts|1984}}, 2.0, , , {{proprietary}}
 Microsoft Office Picture Manager*, Basic image editor, Microsoft, {{dts|2002}}, 14.0, , , {{proprietary}}
 Microsoft Paint, Basic graphic creator and editor packaged with Microsoft Windows operating systems, Microsoft, {{dts|1985}}, 6.1, , , {{proprietary}}
 Microsoft Photo Editor*, Obsolete basic image editor for Windows, Microsoft, {{dts|2000}}, 3.01, , , {{proprietary}}
 mtPaint, pixel art and photo editing application, Mark Tyler, {{dts|2004|09|13}}, 3.40, , free, {{free|GPL3}}
 MyPaint, Digital painting application, Martin Renold, {{dts|2005|03|12}}, 1.2.1, , free, {{free|GPL2}}
 OpenCanvas, , Portalgraphics, {{dts|2000}}, 4, , , {{proprietary}}
 paint.net, Freeware image editor and graphics creator based on the .Net framework, Rick Brewster  et al., {{dts|2004|05|06}}, 
