Name, Latest release, Active, Software license, Type, Windows, macOS, Linux, Textual editor?, Tree view editor?, Graphical editor?, WYSIWYG editor?, XML Schema editor?, Syntax highlighting, Tag folding, Autocomplete using schema, XPath search, XML diff/merge, Payment model, Full-featured free trial period
Adobe FrameMaker, 2015, {{yes}}, {{proprietary}}, Standalone, {{yes}}, {{No}}, {{No}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, , {{dunno}}, {{yes}}
Altova XMLSpy, 2018, {{yes}}, {{proprietary}}, Standalone Eclipse Plugin  Visual Studio Plugin, {{yes}}, {{no}}[1], {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{dunno}}, 30 days
CAM Editor, 2015 (3.2.2), {{Yes}}, {{free|Open Source}}, Standalone, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{dunno}}, {{no}}, {{yes}}, {{no}}, , , {{N/A}}, {{N/A}}
emacs/ nxml-mode, current, {{dunno}}, {{GPL-lic}}, Emacs mode, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{dunno}}, {{no}}, {{no}}, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, , , {{N/A}}, {{N/A}}
MadCap Flare, 2019, {{yes}}, {{proprietary}}, Standalone, {{yes}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, Perpetual and Subscription, {{yes}}
Liquid XML Studio, 2018 (16.1.19), {{yes}}, {{proprietary}}, Standalone + Visual Studio Plugin, {{yes}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{dunno}}, {{yes}}
Oxygen XML Editor, 2019 (21.0), {{yes}}, {{proprietary}}, Standalone + Eclipse Plugin[2]Web-App, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{dunno}}, 30 days
Quark Author Web Edition on Quark Publishing Platform, 2014 (10.5), {{yes}}, {{proprietary}}, Web-App, {{yes}}, {{yes}}, {{yes}}, {{no}}, Sections Only, {{yes}}, {{yes}}, {{dunno}}, {{no}}, {{no}}, {{no}}, , , {{dunno}}, {{n/a}}
Stylus Studio, 2014 (X15 R2), {{yes}}, {{proprietary}}, Standalone, {{yes}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, , {{yes}}, {{dunno}}, {{yes}}
Xeditor, 2.0, {{yes}}, {{proprietary}}, Web-app, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, , , {{dunno}}, {{yes}}
Xerlin, 2005 (1.3), {{no}}, {{free|Open Source}}, Standalone, {{yes}}, {{yes}}, {{yes}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, , , {{N/A}}, {{dunno}}
XMetaL, 2018 (13.0), {{yes}}, {{proprietary}}, Standalone, {{yes}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{no}}, {{dunno}}, {{yes}}
XML Notepad, 2017 (2.7.1), {{yes}}, {{Free|Microsoft Public License}}, Standalone, {{yes}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{yes}}, , , {{dunno}}, {{yes}}
