Distribution, x86, x86-64, ia64, ppc[103], ppc64, sparc32, sparc64, arm, hppa[104], loongson, mips[105], sh, s390, s390x, alpha[106], m68k[107], riscv
Musix GNU+Linux, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
OpenELEC, {{yes}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
openSUSE[141], {{partial|Discontinued 42.1}}, {{yes}}, {{no}}, {{no}}[142], {{no}}[142], {{no}}, {{partial|partial}}[143], {{partial|partial}}[144], {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
OpenWrt[145], {{yes}}, {{yes}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}
Oracle Linux[146], {{yes}}, {{yes}}, {{partial|Discontinued 5}}[147], {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
Parabola GNU/Linux-libre, {{yes}}, {{yes}}, {{no}}, {{no}}, {{partial|Test release[148]}}, {{no}}, {{no}}, {{yes|Yes  ARMv7[149][150]}}, {{no}}, {{partial|Discontinued[151]}}, {{partial|Discontinued[151]}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{partial|Test release[152]}}
Red Flag Linux, {{partial|Discontinued 8.0}}[153], {{partial|Discontinued 8.0}}[153], {{partial|Discontinued 3}}[154], {{no}}, {{partial|Discontinued 3}}[154], {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
Red Hat Linux[155], {{partial|Discontinued 9.0}}, {{no}}, {{partial|Discontinued 7.1-7.2}}, {{partial|Test release 5.1[156]}}, {{no}}, {{partial|Discontinued 4.0-4.2 5.1-6.2}}, {{partial|Test release 5.1[156]}}, {{no}}, {{no}}, {{no}}, {{partial|Test release 5.1[156]}}, {{no}}, {{partial|Discontinued 7.2}}, {{yes}}, {{partial|Discontinued 2.1-7.1}}, {{partial|Test release 5.1[156]}}
Red Hat Enterprise Linux[157], {{partial|Discontinued 2.1-6[158]}}, {{yes}} 3+, {{partial|Discontinued 2.1-5[159]}}, {{yes}} 3+, {{yes}} 3+, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{partial|Discontinued 3-4[160]}}, {{yes}} 3+, {{no}}, {{no}}
Sabayon Linux, {{no|Discontinued}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
