Feature, Android, iOS, Windows 10 Mobile, BlackBerry 10, Tizen, Sailfish OS, Ubuntu Touch
Cut  copy  and paste, {{Yes}}[134], {{Yes|3+}}[135], {{Yes}}[136], {{Yes}}, {{Yes}}[137], {{Yes}}, {{Yes}}
Multi-Device clipboard, {{No}}, {{Yes|10+}}[138], {{No2|No  3rd party software[139]}}, {{No}}, {{No}}, {{No}}, {{No}}
Undo, {{No}}[140], {{Yes|3+}}[141], {{Okay|Optional for developers  UWP API have this feature[142][143]}}, {{No}}, {{No}}, {{No}}[144], {{Yes}}
Custom home and lock screen wallpaper, {{Yes}}, {{Yes|4+}}[82], {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}} (incl. Ambience), {{Yes}}
Desktop sync, {{No2}} No [145] but available using the vendor's companion/PC suite application such as Samsung Smart Switch & HTC Sense[146], {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, ?, {{Yes}}
Local full backup, {{Yes}}  via external computer[147], {{Yes|Yes  using external computer}}[148], {{No2|3rd party software  like WP internals on external computer}}  officially removed in WP8 [149] was available on WP7 in Zune only when performing update  or anytime via 3rd party software[150][151], {{Yes|Yes  using external computer}}[152] and memory card (7+)[153], {{No}}[154], {{Yes}}, {{Yes}}
Core data missing sync, Bookmarks[155] (before 4)  SMSs and Settings[156], , Favorites [157] Text Messages[158] and Settings[159], ?, ?, ?, ?
Notification center, {{Yes}}, {{Yes|5+}}[160], {{Yes|8.1+}}[101], {{Yes|6+}}[161], {{Yes|2+}}[162], {{Yes}}, {{Yes}}
Push notifications, {{Yes}}[163], {{Yes|Yes (Apple Push Notification Service)}}, {{Yes}}[164], {{Yes}}, {{Yes|2+}}[165], {{Yes}}, {{Yes}}
Screenshot, {{Yes|4+ also available on earlier versions with customized firmware  such as Cyanogen Mod and on older Samsung Galaxy smartphones}}[166], {{Yes}}[82][167], {{Yes|8+}}[168], {{Yes|10+}}[169], {{Yes}}, {{Yes|2.0.2+}}[170], {{Yes}}
iCalendar import, {{No2}} No [171] but 3rd party app available[172], {{Yes}}[173], {{No2|3rd party software}} (only import not subscribe)[174], {{Yes}}[175], ?, {{Yes|1.1.6.27+}}[176], {{No}}
Text/document support (read only; creating using third party apps), Microsoft Office  PDF  TXT/RTF, Microsoft Office [177][178][179] iWork  PDF  Images  TXT/RTF  VCF, Microsoft Office 2003/2007  PDF  Images  TXT/RTF, Microsoft Office  PDF  OpenDocument  TXT, Read only: text files  PDF  HTML  Multiple office formats, Microsoft Office  OpenDocument  PDF  Text, {{Yes}}
Printer support, {{Yes|4.4+}} using Google Cloud Print[180] but not over USB unless proprietary vendor solutions such as HP Print Service are used[181], {{Yes|Yes (AirPrint)}}[182], {{Yes|10+}}[183], {{Yes}}, {{No}}, ?, {{beta}}
Show remembered Wi-Fi connections, {{Yes}}, {{No2|No  3rd party software on jailbroken devices}}[184], {{Yes}}, {{Yes}}, ?, {{Yes}}, {{Yes}}
