, 2001[151], 2002[152], 2003[153], 2004[154], 2005[155], 2006[156], 2007[157], 2008[158], 2009[159], 2010[160], Total
{{CHN}}, 1, 5, 7, 8, 5, 6, 9, 11, 6, 15, 73
{{JPN}}, 1, 3, 3, -, 2, 6, 2, 1, 3, 2, 23
{{IND}}, 2, 1, 2, 1, 1, 1, 3, 3, 2, 3, 19
{{ISR}}, -, 1, -, 1, -, -, 1, -, -, 1, 4
{{IRN}}, -, -, -, -, -, -, -, 1, 1, -, 2
{{KOR}}, -, -, -, -, -, -, -, -, 1, 1, 2
{{PRK}}, -, -, -, -, -, -, -, -, 1, -, 1
Total, 4, 10, 12, 10, 8, 13, 15, 16, 14, 22, 124
