, TGA, RAW imports, BMP, GIF, JPEG, JPEG 2000, HD Photo, PNG, TIFF, PSD, PSP, XCF, PCX, ORA, HEIF
ImageMagick, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, , 
iPhoto*, {{dunno}}, {{yes}}, {{dunno}}, {{dunno}}, {{yes}}, {{dunno}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{dunno}}, {{dunno}}, {{yes}}, , 
IrfanView, {{dunno}}, {{partial|Via plug-in}}, {{yes}}, {{yes}}, {{yes}}, {{partial|Via plug-in}}, {{partial|Via plug-in}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, , 
Iridient Developer, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, , {{yes}}, {{yes}}, {{yes}}, {{dunno}}, {{dunno}}, {{dunno}}, , 
Kolourpaint, {{dunno}}, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{no}}, {{no}}, Import, {{yes}}, , 
Krita, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, , {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, Import, {{yes}}, 
LiveQuartz, {{dunno}}, {{partial}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{partial}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{yes}}
LazPaint, {{dunno}}, , {{yes}}, {{yes}}, {{yes}}, , , {{yes}}, , , , , , {{yes}}, 
MacPaint*, {{dunno}}, {{no}}, {{dunno}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, , 
Microsoft Office Picture Manager*, {{dunno}}, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, , {{yes}}, {{partial|First page only}}[45], {{no}}, {{no}}, {{no}}, {{yes}}, , 
Microsoft Paint, {{dunno}}, {{no}}, {{yes}}, {{partial}}[46], {{yes}}, {{no}}, {{no}}, {{partial}}[46], {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, , 
Microsoft Photo Editor*, {{dunno}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, , {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, Import, , 
mtPaint, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{dunno}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
OpenCanvas, {{dunno}}, {{dunno}}, {{yes}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{yes}}[47], {{no}}, {{no}}, {{dunno}}, , 
Paint.NET, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}[48], {{yes}}, {{partial|Via plug-ins}}[49], {{partial}}, {{no}}, {{no}}, {{yes}}, , 
Paint Tool SAI, {{yes}}, {{no}}, {{yes}}, {{no}}, {{yes}}, {{dunno}}, {{no}}, {{yes}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
PC Paintbrush*, {{dunno}}, {{dunno}}, {{no}}, {{yes}}, {{no}}, {{no}}, , {{no}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{yes}}, , 
Photogenics, {{dunno}}, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{dunno}}, , {{yes}}, {{yes}}, {{yes}}, {{dunno}}, {{dunno}}, {{yes}}, , 
PhotoLine, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, , 
PhotoPerfect*, {{dunno}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{partial|No layer support}}, {{yes}}, {{no}}, {{yes}}, , 
Photos, {{dunno}}, {{yes}}, {{dunno}}, {{dunno}}, {{yes}}, {{dunno}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{dunno}}, {{dunno}}, {{yes}}, , 
Photo Raster, {{dunno}}, {{no}}, {{partial|Import}}, {{partial|Import}}, {{yes}}, {{no}}, {{no}}, {{yes}}, {{partial|Import}}, {{no}}, {{no}}, {{no}}, {{partial|Import}}, , 
Picasa*, {{dunno}}, {{yes}}, Import, Import, {{yes}}, {{no}}, , Import, {{no}}, Import, {{no}}, {{no}}, {{no}}, , 
PicMaster, {{dunno}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{yes}}, , 
