{{Tooltip|No.}}, Country, Spacecraft, Year, Type
1, {{JPN}}, Akatsuki (spacecraft), 2015, Orbiter
TBD, {{IND}}, Shukrayaan-1, 2023 (Planned), Orbiter with aerobots
