Product, Creator, Latest stable release date, Latest stable release, License, Runs on Windows, Runs on Mac OS X, Runs on Linux, Oracle, MySQL, PostgreSQL, MS SQL Server, ODBC, JDBC, SQLite, Other, Programming language
Adminer, Jakub Vrána, {{Adminer version|releasedate}}, {{Adminer version}}, Apache License or GPL, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, , , {{yes}}, , PHP
DaDaBIK, Eugenio Tacchini, {{DaDaBIK version|releasedate}}, {{DaDaBIK version}}, Proprietary, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{yes}}, , PHP
Database Deployment Manager, The Unauthorized Frog project, 2012-05-29, v0.1i, LGPL, {{yes}}, {{no}}, {{yes}}, , {{yes}}, , , , , , , Qt/C++
DatabaseSpy, Altova, {{DatabaseSpy version|releasedate}}, {{DatabaseSpy version}}, Proprietary, {{yes}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, , IBM DB2  Sybase  MS Access, C++
Database Workbench, Upscene Productions, 2017-06-29, 5.3.2, Proprietary, {{yes}}, {{Depends|requires Wine}}, {{Depends|requires Wine}}, {{yes}}, {{yes}}, , {{yes}}, {{yes}}, , , InterBase  Firebird  SQL Anywhere  NexusDB and MariaDB, Delphi
DataGrip, JetBrains, 2017-09-06, 2017.2.2, Proprietary, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, Sybase  DB2  H2  Hypersonic SQL  Amazon Redshift  Apache Derby, Java
DBeaver, Serge Rider, 2019-03-10, 6.0, Apache License, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, MySQL  PostgreSQL  Oracle  EXASOL  IBM DB2  SQL Server  Apache Derby  Firebird all with JDBC driver, Java
DBEdit, Jef Van Den Ouweland, 2012-05-10, 2.4.6, GPL, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, IBM DB2  HSQLDB  Apache Derby  H2, Java
Epictetus, Antilogic Software, {{dunno}}, {{dunno}}, Proprietary, {{yes}}, {{yes}}, {{yes}}, {{yes}}, , {{yes}}, {{yes}}, , , , Sybase  InterBase/Firebird  H2  HSQLDB, Java
HeidiSQL, Ansgar Becker, {{HeidiSQL version|releasedate}}, {{HeidiSQL version}}, GPL, {{yes}}, {{Depends|requires Wine}}, {{Depends|requires Wine}}, , {{yes}}, {{yes}}, {{yes}}, , , , , Embarcadero Delphi
