Site, Specialization, Is a tracker, Directory, Public, RSS, One-click download, Sortable, Comments, Multi-tracker index, Ignores DMCA, Tor friendly, Alexa Traffic Rank
 YourBittorrent, {{yes|None}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}[29], {{no}}, {{sort|004131|4 131}}[30]
 Torlock[31], {{yes|None}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}[32], ?, {{sort|004945|4 945}}[33]
 torrentleech.org[34], {{yes|None}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{no}}, {{sort|007803|7 803}}[35]
 redacted.ch[36], Music, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{no}}, {{sort|021129|21 129}}[37]
 HDBits[38], Movies, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{no}}, {{sort|025941 |25 941}}[39]
 Worldwidetorrents.me[40], {{yes|None}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{no}}, {{sort|026688|26 688}}[41]
 ETTV[42], {{yes|None}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{no}}, {{sort|031902|31 902}}[43]
 RevolutionTT[44], {{yes|None}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{no}}, {{sort|032860|32 860}}[45]
 apollo.rip[46], Music, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{no}}, {{sort|046738|46 738}}[47]
 Waffles[48], Music, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{no}}, {{sort|074558|74 558 }}[49]
 AnimeSuki, Anime & otaku subculture[50], {{no}}, {{yes}}[51], {{yes}}, {{yes}}, {{yes}}, {{no }}, {{no}}, {{no}}, ?, ?, {{sort|093843|93 843}}[52]
 etree, Live concerts, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, ?, ?, {{sort|097818| 97 818}}[53]
 MovieMagnet[54], Movies, {{no}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}, ?, {{sort|349627|349 627}}[55]
 NyaaV2, CJK content  especially otaku and anime, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes }}, {{yes}}, {{no}}, {{yes}}, {{no}}, {{sort|000560|560}}[56]
 Torrentrex.com[57], {{yes|None}}, {{no}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{?}}, {{sort|978056|978 056}}[58]
 Site, Specialization, Is a tracker, Directory, Public, RSS, One-click download, Sortable, Comments, Multi-tracker index, Ignores DMCA, Tor friendly, Alexa Traffic Rank
 
