Company, Software, On-demand scan, On-access scan, Boot-time scans, Heuristics, CloudAV, Firewall, IDS, IPS, Sandbox, Email Security, AntiSpam, Web protection, Macro protection, Live Update, Support, Settings Import/ Export, installer/ updater MIMA safe, License, Price, First release, Country of origin, Original author/s, Notes
 Comodo Group, Comodo Cloud Antivirus, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{No}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}*, {{Yes}}, {{Yes}}, {{Yes}}*, {{Yes}}, {{Yes}}, {{Yes}}, ?, {{Proprietary}}, {{Free}}, 2016, United States, , Protection via containment of untrusted executable code
 Comodo Group, Comodo Internet Security, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}*, {{Yes}}, {{Yes}}, {{Yes}}*, {{Yes}}, {{Yes}}, {{Yes}}, ?, {{Proprietary}}, {{Free}}, 2010, United States, , Protection via containment of untrusted executable code
 Dr.Web, Dr.Web Anti-virus, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{No}}, {{No}}, {{No}}, {{Yes}}*, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Proprietary}}, {{some|Trialware}}, 1992, Russia, Igor Danilov, macOS/Linux feature only
 Dr.Web, Dr.Web Security Space, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{No}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Proprietary}}, {{some|Trialware}}, 2006, Russia, Igor Danilov, 
 ESET, ESET NOD32 Antivirus, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{No}}, {{No}}, {{No}}, ?, {{Yes}}, {{No}}, {{Yes}}[3][4], {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, ?, {{Proprietary}}, {{some|Trialware[5]}}, 1987, Slovakia, Peter Paško and Miroslav Trnka, 
 ESET, ESET Smart Security, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, ?, {{Yes}}, {{Yes}}, {{Yes}}[3][4], {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{No}}[1], {{Proprietary}}, {{some|Trialware[5]}}, 2007, Slovakia, Peter Paško and Miroslav Trnka, 
 F-Secure, F-Secure Antivirus, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{No}}, {{No}}, {{No}}, {{No}}, ?, {{Yes}}, {{No}}, {{No}}, {{Yes}}, {{Yes}}, {{Yes}}, ?, ?, {{Proprietary}}, {{Nonfree}}, 1991, Finland, Petri Allas and Risto Siilasmaa, Third-party antivirus engine (Bitdefender)
 F-Secure, F-Secure SAFE, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, ?, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, ?, ?, {{Proprietary}}, {{Nonfree}}, 2004, Finland, Petri Allas and Risto Siilasmaa, Third-party antivirus engine (Bitdefender)
 FRISK Software, F-PROT Antivirus, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{No}}, {{No}}, {{No}}, {{No}}, ?, {{Yes}}, {{No}}, {{No}}, {{Yes}}, {{Yes}}, {{Yes}}, ?, ?, {{Proprietary}}, {{some|Trialware}}, 1989, Iceland, Friðrik Skúlason (second engine also with Dr. Vesselin Bontchev), 
 Fortinet, FortiClient, {{Yes}}, {{Yes}}, {{Yes}}, {{No}}, {{No}}, {{Yes}}, {{No}}, {{No}}, ?, {{No}}, {{No}}, {{Yes}}, {{No}}, {{Yes}}, {{Yes}}, ?, ?, {{Proprietary}}, {{Free}}, 2004, United States, , 
 G Data Software, G DATA AntiVirus, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{No}}, {{No}}, {{No}}, {{No}}, ?, {{No}}, {{No}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, ?, ?, {{Proprietary}}, {{Nonfree}}, 1987, Germany, Andreas Lüning and Kai Figge, Third-party antivirus engine (Bitdefender)
 G Data Software, G DATA InternetSecurity, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{No}}, ?, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, ?, ?, {{Proprietary}}, {{Nonfree}}, 2004, Germany, Andreas Lüning and Kai Figge, Third-party antivirus engine (Bitdefender)
 Kaspersky Lab, Kaspersky Anti-Virus, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{No}}, {{No}}, {{No}}, {{No}}, ?, {{Yes}}, {{No}}, {{Yes}}, {{No}}, {{Yes}}, {{Yes}}, ?, ?, {{Proprietary}}, {{Nonfree}}, 1997, Russia, Eugene Kaspersky and Natalia Kaspersky, Banned by USG
 Kaspersky Lab, Kaspersky Internet Security, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, ?, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, ?, ?, {{Proprietary}}, {{Nonfree}}, 2007, Russia, Eugene Kaspersky and Natalia Kaspersky, Banned by USG
 Kasp
