Resort name and website, Nearest city, State/province, Peak elevation (ft), Base elevation (ft), Vertical drop (ft), Skiable acreage, Total trails, Total lifts, Avg annual snowfall (in), Adult weekend lift ticket window price (USD), Date statistics updated
Berkshire East, Greenfield, Massachusetts, 1 720, 540, 1 180, 180, 45, 6, 120, $69, September 29  2019[212]
Ski Butternut, Great Barrington, Massachusetts, 1 764, 645, 1 119, 110, 22, 10, 115, $65, September 29  2019[213]
Jiminy Peak, Pittsfield, Massachusetts, 2 375, 1 125, 1 140, 170, 45, 8, 110, $84, September 29  2019[214]
Wachusett Mountain, Worcester, Massachusetts, 2 006, 1 006, 1 000, 110, 22, 7, 100, $73, September 29  2019[215]
Nashoba Valley, Boston, Massachusetts, 422, 182, 240, 59, 17, 9, 55, $60, September 29  2019[216]
Blue Hills Ski Area, Boston, Massachusetts, 635, 326, 309, 60, 8, 4, , $45, September 29  2019[217]
Otis Ridge Ski Camp, Otis, Massachusetts, 1 700, 1 300, 400, 55, 11, 5, 70, $40, September 29  2019[218]
Ski Bradford, Haverhill, Massachusetts, 272, 24, 248, 48, 15, 10, , $58, September 29  2019[219]
Ski Ward, Shrewsbury, Massachusetts, 420, 210, 210, 45, 9, 6, 80, $55, September 29  2019[220]
Bosquet Ski Area, Pittsfield, Massachusetts, 1 818, 1 068, 750, 200, 23, 5, 83, $47, September 29  2019[221]
Chestnut Mountain, Galena, Illinois, 1 020, 600, 420, 220, 19, 9, 34, $60, September 29  2019[222]
Snowstar Winter Sports Park, Moline, Illinois, 790, 528, 262, 28, 14, 6, 38, $41, September 29  2019[223]
Four Lakes Alpine Snowsports, Naperville, Illinois, 500, 400, 100, 9, 7, 6, 24, $28, September 29  2019[224]
Villa Olivia, Bartlett, Illinois, 500, 320, 180, 15, 7, 7, 25, $40, September 29  2019[225]
Mount Crescent, Omaha, Iowa, 1 500, 1 200, 300, 50, 11, 2, 30, $39, September 29  2019[226]
Seven Oaks, Boone, Iowa, 975, 800, 175, 35, 11, 4, 40, $40, September 29  2019[227]
Sleepy Hollows Sports Park, Des Moines, Iowa, 938, 800, 138, 80, 8, 2, , $25, September 29  2019[228]
Sundown Mountain, Dubuque, Iowa, 1 059, 584, 475, 55, 21, 6, 45, $46, September 29  2019[229]
Bryce Resort, Basye, Virginia, 1 750, 1 250, 500, 25, 8, 7, 30, $67, September 29  2019[230]
Massanutten Resort, Harrisonburg, Virginia, 2 925, 1 750, 1 110, 70, 13, 7, 35, $79, September 29  2019[231]
Homestead Resort, Hot Springs, Virginia, 3 200, 2 500, 700, 45, 10, 2, 50, $35, September 29  2019
Canaan Valley Resort, Dryfork, West Virginia, 4 280, 3 430, 850, 91, 39, 4, 150, $68, September 29  2019[232]
Winterplace, Ghent, West Virginia, 3 600, 2 997, 603, 90, 28, 9, 100, $72, September 29  2019[233]
Oglebay Resort, Wheeling, West Virginia, , , 168, , 1, 1, , $28, September 29  2019[234]
Cloudmont Resort, Mentone, Alabama, 1 800, 1 650, 150, 9, 2, 2, 0, $40, September 29  2019[235]
Anthony Lakes, North Powder, Oregon, 8 000, 7 100, 900, 1 100, 21, 3, 300, $40, September 29  2019[236]
Copper Spur, Hood River, Oregon, 4 350, 4 000, 350, 50, 10, 4, 100, $39, September 29  2019[237]
Ferguson Ridge, Joseph, Oregon, 5 840, 5 200, 640, 170, 8, 2, 300, $20, September 29  2019[238]
Hoodoo, Sisters, Oregon, 5 703, 4 668, 1 035, 806, 32, 5, 360, $56, September 29  2019[239]
Mount Hood Skibowl, Government Camp, Oregon, 5 027, 3 500, 1 527, 960, 65, 9, 300, $55, September 29  2019[240]
Spout Springs, Tollgate, Oregon, 5 450, 4 920, 530, 200, 17, 2, 130, Closed Temporarily, September 29  2019
Summit Ski Area, Government Camp, Oregon, 4 306, 4 000, 306, 70, 3, 2, 150, $38, September 29  2019[241]
Timberline Lodge, Government Camp, Oregon, 8 540, 4 850, 3 620, 1 430, 35, 9, 540, $75, September 29  2019[242]
Warner Canyon, Lake View, Oregon, 6 003, 5 271, 732, 200, 21, 1, 50, $35, September 29  2019[243]
Willamette Pass, Oakridge, Oregon, 6 683, 5 120, 1 563, 555, 29, 6, 430, $60, September 29  2019[244]
Crested Butte, Crested Butte, Colorado, 12 170, 9 115, 3 055, 1 547, 121, 16, 300, $113, September 30  2019[245]
Echo Mountain, Evergreen, Colorado, 10 650, 10 050, 600, 226, 13, 2, 275, $55, September 30  2019[246]
Granby Ranch, Granby, Colorado, 9 202, 8 202, 1000, 406, 40, 5, 220, $84, September 30  2019[247]
Hesperus, Durango, Colorado, 8 888, 8 200, 688, 60, 26, 1, 150, $39, September 30  2019[248]
Howelson Hill, Steamboat Springs, Colorado, 7 136, 6 696, 440, 50, 17, 4, 150, $30, September 30  2019[249]
Kendall Mountain, Silverton, Colorado, 9.540, 9 300, 240, 16, 11, 1, 200, $20, September 30  2019[250]
Monarch, Salida, Colorado, 11 960, 10 790, 1 170, 800, 63, 5, 400, $94, September 30  2019[251]
Powderhorn Resort, Grand Junction, Colorado, 9 850, 8 200, 1 650, 1 600, 63, 5, 250, $71, September 30  2019[252]
Purgatory Resort, Durango, Colorado, 10 822, 8 793, 2 029, 1 200, 85, 10, 260, $99, September 30  2019[253]
Silverton Mountain, Silverton, Colorado, 13 487, 10 400, 3 087, 1 819, 48, 1, 450, $79, September 30  2019[254]
Sunlight Mountain, Glenwood Springs, Colorado, 9 895, 7 885, 2 010, 470, 67, 3, 250, $55, September 30  2019[255]
Cranor Hill, Gunnison, Colorado, 8 500, 8 100, 400, 45, 4, 1, 75, $17, September 30  2019[256]
Lake City, Lake City, Colorado, 8 850, 8 600, 250, 14, 7, 1, , $20, September 30  2019[257]
Beaver Mountain, Logan, Utah, 8 800, 7 200, 1 600, 667, 47, 5, 400, $50, September 30  2019[258]
Cherry Peak, Richmond, Utah, 7 050, 5 775, 1 265, 200, 29, 3, 322, $40, September 30  2019[259]
Eagle Point, Beaver, Utah, 10 600, 9 100, 1 500, 650, 40, 5, 400, $65, September 30  2019[260]
Nordic Valley, Ogden, Utah, 6 400, 5 440, 960, 140, 23, 4, 300, $45, September 30  2019[261]
Snowbasin, Huntsville, Utah, 9 350, 6 391, 2 959, 3 000, 104, 11, 350, $99, September 30  2019[262]
Solitude Mountain, Salt Lake City, Utah, 10 488, 7 988, 2 500, 1 200, 80, 8, 500, $115, September 30  2019[263]
Sundance Mountain, Provo, Utah, 8 250, 6 100, 2 150, 450, 44, 5, 320, $90, September 30  2019[264]
Afton Alps, Afton, Minnesota, 700, 350, 350, 300, 50, 22, 60, $28, October 1  2019[265]
Andes Tower Hills, Kensington, Minnesota, 1 620, 1 330, 290, 35, 15, 6, 55, $45, October 1  2019[266]
Buck Hill, Burnsville, Minnesota, 1 211, 949, 262, 45, 16, 9, 60, $47, October 1  2019[267]
Buena Vista Ski Area, Bemidji, Minnesota, 1 510, 1280, 230, 30, 16, 5, 78, $44, October 1  2019[268]
Chester Bowl Park, Duluth, Minnesota, 875, 700, 175, 6, 5, 1, 100, $15, October 1  2019[269]
Coffee Mill Ski Area, Wabasha, Minnesota, 1 150, 725, 425, 40, 14, 3, 48, $37, October 1  2019
Detroit Mountain, Detroit Lakes, Minnesota, 1 607, 1 443, 210, 45, 21, 8, , $42, October 1  2019[270]
Giants Ridge, Biwabik, Minnesota, 1 972, 1 472, 500, 202, 35, 7, 85, $34, October 1  2019[271]
Hyland Hills, Bloomington, Minnesota, 1 075, 900, 175, 35, 13, 6, 60, $35.34, October 1  2019[272]
Lutsen Mountains, Lutsen, Minnesota, 1 688, 825, 863, 1 000, 95, 9, 115, $86, October 1  2019[273]
Mount Itasca, Grand Rapids, Minnesota, , , , , , , , $20, October 1  2019[274]
Mount Kato, Mankato, Minnesota, 840, 600, 240, 55, 19, 11, 50, $49, October 1  2019[275]
Powder Ridge, Kimball, Minnesota, 850, 540, 310, 60, 15, 6, 45, $50, October 1  2019[276]
Mount Ski Gull, Nisswa, Minnesota, 1 515, 1 285, 230, 40, 10, 5, 50, $39.99, October 1  2019[277]
Spirit Mountain, Duluth, Minnesota, 1 298, 620, 678, 175, 22, 8, 90, $59, October 1  2019[278]
Welch Village, Red Wing, Minnesota, 1 060, 700, 360, 140, 60, 11, 45, $62, October 1  2019[279]
Wild Mountain, Taylors Falls, Minnesota, 1 113, 813, 300, 100, 26, 9, 50, $56, October 1  2019[280]
Abenaki Ski Area, Wolfeboro, New Hampshire, 815, 600, 215, 18, 7, 2, , $25, December 8  2019[281]
Arrowhead Recreation Area, Claremont, New Hampshire, , , 120, 225, 9, 2, , $9, December 8  2019[282]
Attitash Mountain Resort, North Conway, New Hampshire, 2 350, 600, 1 750, 311`, 68, 9, 120, $56, December 8  2019[283]
Black Mountain Ski Area, Jackson, New Hampshire, 2 350, 1 250, 1 100, 143, 40, 5, 125, $62, December 8  2019[284]
Bretton Woods, Bretton Woods, New Hampshire, 3 100, 1 600, 1 500, 464, 62, 10, 200, $96, December 8  2019[285]
Cannon Mountain Ski Area, Franconia, New Hampshire, 4 180, 1 850, 2 330, 265, 73, 10, 160, $82, December 8  2019[286]
Campton Mountain, Campton, New Hampshire, 1 505, 1 192, 313, , , 2, , $20, December 8  2019[287]
Cranmore Mountain Resort, North Conway, New Hampshire, 2 000, 600, 1 200, 200, 54, 10, 150, $89, December 8  2019[288]
Crotched Mountain Ski and Ride, Manchester, New Hampshire, 2066, 1050, 1 016, 75, 23, 5, 105, $71, December 8  2019[289]
Dartmouth Skiway, Lyme, New Hampshire, 1 943, 975, 968, 104, 30, 4, 100, $53, December 8  2019[290]
Veterans Memorial Recreation Area, Franklin, New Hampshire, , , 220, , 10, 2, , Free, December 8  2019[291]
Granite Gorge, Keene, New Hampshire, 1 325, 935, 390, 150, 19, 3, , $49, December 8  2019[292]
Gunstock Mountain Resort, Laconia, New Hampshire, 2 267, 867, 1 400, 227, 55, 6, 120, $84, December 8  2019[293]
Kanc Recreation Area, Lincoln, New Hampshire, 1 080, 859, 221, 7, 2, 1, , $5, December 8  2019[294]
King Pine Ski Area, Madison, New Hampshire, 850, 500, 350, 48, 17, 6, 120, $59, December 8  2019
Loon Mountain Resort, Lincoln, New Hampshire, 3 050, 950, 2 100, 370, 61, 12, 163, $104, December 8  2019[295]
McIntyre Ski Area, Manchester, New Hampshire, 510, 340, 169, 37, 10, 5, , $42, December 8  2019[296]
Mt. Eustis Ski Hill, Littleton, New Hampshire, 1 373, 1 133, 240, , , 1, , $5, December 8  2019[297]
Mount Prospect Ski Tow, Lancaster, New Hampshire, 1 700, 1 400, 300, , , 1, , $7, December 8  2019[298]
Mount Sunapee Resort, Claremont, New Hampshire, 2 743, 1 230, 1 513, 230, 66, 11, 100, $79, December 8  2019[299]
Pats Peak Ski Area, Henniker, New Hampshire, 1 460, 690, 770, 103, 28, 11, 100, $75, December 8  2019[300]
Ragged Mountain Resort, Danbury, New Hampshire, 2250, 1000, 1 250, 250, 57, 6, 100, $87, December 8  2019[301]
Red Hill Ski Area, Moultonborough, New Hampshire, 820, 610, 210, , 9, 1, , $25/season, December 8  2019[302]
Storrs Hill Ski Area, Lebanon, New Hampshire, 580, 280, 300, 20, 3, 1, , $15, December 8  2019[303]
Tenney Mountain Resort, Plymouth, New Hampshire, 2 149, 749, 1 400, 110, 45, 3, 140, $59, December 8  2019[304]
Waterville Valley Resort, Waterville Valley, New Hampshire, 3 840, 1 820, 2 020, 220, 50, 11, 150, $69, December 8  2019[305]
Whaleback Mountain, Enfield, New Hampshire, 1 800, 1 100, 700, 85, 30, 4, 110, $45, December 8  2019[306]
Wildcat Mountain, Jackson, New Hampshire, 4 062, 1 950, 2 112, 225, 48, 5, 207, $120, December 8  2019[307]
Bear Creek Mountain Resort, Allentown, Pennsylvania, 1 100, 590, 510, 86, 21, 7, 30, $60, December 9  2019[308]
Blue Knob All Seasons Resort, Claysburg, Pennsylvania, 3 146, 2 074, 1 072, 100, 34, 6, 120, $70, December 9  2019[309]
Blue Mountain Ski Area, Palmerton, Pennsylvania, 1 540, 458, 1 082, 164, 39, 13, 33, $70, December 9  2019[310]
Boyce Park Four Seasons Lodge, Plum, Pennsylvania, 1 245, 1 115, 130, 25, 9, 5, , $28, December 9  2019[311]
Camelback Mountain Resort, Scranton, Pennsylvania, 2 130, 1 330, 800, 166, 35, 16, 50, $78, December 9  2019[312]
Elk Mountain Ski Resort, Scranton, Pennsylvania, 2 667, 1 742, 925, 180, 27, 7, 60, $69, December 9  2019[313]
Hidden Valley Resort, Hidden Valley, Pennsylvania, 2 875, 2 405, 470, 110, 26, 11, 140, $61, December 9  2019[314]
Jack Frost - Big Boulder Ski Area, White Haven, Pennsylvania, 2 000, 1 400, 600, 145, 35, 22, 50, $68, December 9  2019[315]
Laurel Mountain Ski Resort, Ligonier, Pennsylvania, 2 800, 2 000, 800, 70, 20, 2, , $58, December 9  2019[316]
Liberty Mountain Resort, Gettysburg, Pennsylvania, 1 190, 570, 620, 100, 22, 9, 31, $105, December 9  2019[317]
Mount Pleasant of Edinboro, Edinboro, Pennsylvania, 1 550, 1 200, 350, 35, 10, 2, 150, $33, December 9  2019[318]
Seven Springs Mountain Resort, Seven Springs, Pennsylvania, 2 994, 2 240, 750, 285, 40, 14, 150, $76, December 9  2019[319]
Shawnee Mountain Ski Area, East Stroudsburg, Pennsylvania, 1 351, 700, 651, 125, 23, 9, 50, $68, December 9  2019[320]
Ski Big Bear, Lackawaxen, Pennsylvania, 1 250, 600, 650, 26, 18, 7, 69, $64, December 9  2019[321]
Denton Hill State Park, Ulysses, Pennsylvania, 2 460, 1 800, 660, , , 5, , Closed Temporarily, December 9  2019[322]
Roundtop Mountain Resort, Lewisberry, Pennsylvania, 1 335, 755, 600, 103, 20, 7, 30, $73, December 9  2019[323]
Spring Mountain Adventure, Schwenksville, Pennsylvania, 528, 78, 450, 45, 9, 6, 20, $48, December 9  2019[324]
Ski Sawmill Resort, Morris, Pennsylvania, 2 215, 1 700, 515, 15, 14, 5, 24, $48, December 9  2019[325]
Montage Mountain Resorts, Scranton, Pennsylvania, 1 960, 960, 1000, 140, 26, 9, 60, $58, December 9  2019[326]
Tussey Mountain Ski and Recreation, State College, Pennsylvania, 1 750, 1 230, 520, 38, 7, 3, 41, $62, December 9  2019[327]
Whitetail Resort, Clear Spring, Pennsylvania, 1 800, 865, 935, 109, 25, 9, 40, $64, December 9  2019[328]
Alpine Valley Resort, Elkhorn, Wisconsin, 1 040, 820, 220, 90, 20, 12, 80, $53, December 9  2019[329]
Bruce Mound Winter Sports Area, Merrillan, Wisconsin, 1 375, 1 000, 375, 40, 12, 5, 42, $26, December 9  2019[330]
Camp 10 Ski Area, Rhinelander, Wisconsin, 1 740, 1 510, 230, , 15, 4, , $38, December 9  2019[331]
Cascade Mountain, Portage, Wisconsin, 1 270, 820, 450, 175, 47, 11, 56, $66, December 9  2019[332]
Christie Mountain, Bruce, Wisconsin, 1 650, 1 300, 350, 45, 30, 5, 48, $40, December 9  2019[333]
Christmas Mountain, Wisconsin Dells, Wisconsin, 1 250, 1 000, 250, 40, 16, 3, 20, $45, December 9  2019[334]
The Rock Snowpark, Milwaukee, Wisconsin, 925, 700, 225, 75, 10, 5, , $36, December 9  2019[335]
Devil's Head Resort, Baraboo, Wisconsin, 1 420, 930, 490, 268, 28, 10, 55, $66, December 9  2019[336]
Granite Peak Ski Area, Wausau, Wisconsin, 1 950, 1 250, 700, 220, 75, 7, 75, $49, December 9  2019[337]
Kettlebowl Ski Area, Antigo, Wisconsin, 1 780, 1 455, 325, , 7, 5, , $5, December 9  2019[338]
Kewaunee Winter Park, Kewaunee, Wisconsin, 740, 580, 160, , 5, 1, , $15, December 9  2019[339]
Keyes Peak Ski Hill, Florence, Wisconsin, 1 480, 1 250, 230, , 5, 2, 60, $12, December 9  2019[340]
Little Switzerland Ski Area, Slinger, Wisconsin, 1 269, 1 069, 200, 50, 18, 8, 45, $43, December 9  2019[341]
Mont Du Lac Resort, Superior, Wisconsin, 920, 640, 270, 10, 11, 2, 55, $40, December 9  2019[342]
Grand Geneva Resort and Spa, Lake Geneva, Wisconsin, 1000, 789, 211, 30, 20, 5, 25, $55, December 9  2019[343]
Mount Ashwabay Ski and Recreation Area, Bayfield, Wisconsin, , , 317, 65, 13, 2, , $26, December 9  2019[344]
Mount La Cross, La Crosse, Wisconsin, 1 010, 594, 516, 100, 19, 4, 40, $58, December 9  2019[345]
Navarino Hills, Shiocton, Wisconsin, 885, 785, 100, , , 4, , Temporarily Closed, December 9  2019[346]
Nordic Mountain, Wild Rose, Wisconsin, 1 137, 872, 265, 60, 18, 7, 80, $39, December 9  2019[347]
Nutt Hill Ski Area, Plymouth, Wisconsin, , , 100, 10, 2, 1, , Temporarily Closed, December 9  2019[348]
Powers Bluff County Park and Winter Recreation Area, Arpin, Wisconsin, 1 430, 1 180, 250, , 3, 2, , $10, December 9  2019[349]
Standing Rocks County Park and Winter Recreation Area, Portage, Wisconsin, , , 125, , 5, 1, , $16, December 9  2019[350]
Sunburst Winter Sports Park, West Bend, Wisconsin, 1 100, 866, 214, 40, 12, 9, 50, $44, December 9  2019[351]
Triangle Sports Area, Green Bay, Wisconsin, 710, 640, 70, , 2, 3, , $5, December 9  2019[352]
Trollhaugen, Dresser, Wisconsin, 1 200, 920, 280, 86, 24, 10, 50, $55, December 9  2019[353]
Tyrol Basin, Mount Horeb, Wisconsin, 1 130, 870, 260, 30, 16, 6, 41, $48, December 9  2019[354]
Whitecap Mountains Resort, Upson, Wisconsin, 1 750, 1 295, 400, 400, 43, 5, 200, $65, December 9  2019[355]
Whitetail Ridge Ski Area, Fort McCoy, Wisconsin, 1 050, 865, 185, , , 1, , $37, December 9  2019[356]
Wilmot Mountain Ski Resort, Wilmot, Wisconsin, 960, 770, 190, 120, 23, 11, 48, $65, December 9  2019[357]
Alpine Valley, White Lake, Michigan, 500, 126, 374, 100, 25, 14, 20, $48, December 9  2019[358]
Apple Mountain, Freeland, Michigan, 820, 600, 220, 80, 12, 6, 52, Temporarily Closed, December 9  2019[359]
Big Powderhorn Mountain Resort, Bessemer, Michigan, 1 800, 1 200, 600, 253, 45, 10, 214, $69, December 9  2019[360]
Bittersweet Ski Resort, Otsego, Michigan, 850, 450, 400, 100, 20, 12, 90, $50, December 9  2019[361]
Big Snow Resort (includes Blackjack and Indianhead Mountain), Bessemer, Michigan, 1 935, 1 297, 638, 321, 56, 17, 205, $65, December 9  2019[362]
Boyne Highlands Resort, Harbor Springs, Michigan, 1 290, 745, 545, 435, 55, 10, 140, $75, December 9  2019[363]
Caberfae Peaks, Cadillac, Michigan, 1 569, 1 060, 485, 200, 34, 5, 140, $59, December 9  2019[364]
Cannonsburg Ski Area, Belmont, Michigan, 1 100, 850, 250, 100, 21, 10, 100, $39, December 9  2019[365]
Crystal Mountain, Thompsonville, Michigan, 1 132, 757, 375, 102, 58, 8, 132, $74, December 9  2019[366]
Hickory Hills Ski Area, Traverse City, Michigan, , , 237, 125, 8, 5, , $25, December 9  2019[367]
The Homestead, Glen Arbor, Michigan, 900, 580, 320, 16, 15, 5, 150, $39, December 9  2019[368]
Marquette Mountain Ski Area, Marquette, Michigan, 1 257, 800, 457, 169, 25, 4, 117, $54, December 9  2019[369]
Mont Ripley Ski Area, Hancock, Michigan, 1 140, 700, 440, 112, 25, 4, 275, $52, December 9  2019[370]
Mount Bohemia, Mohawk, Michigan, 1 500, 600, 900, 585, 102, 2, 273, $74, December 9  2019[371]
Mount Brighton, Brighton, Michigan, 1 330, 1 100, 230, 130, 26, 13, 60, $64, December 9  2019[372]
Mount Holiday Ski and Recreational Area, Traverse City, Michigan, 440, 240, 200, 45, 12, 4, 120, $34, December 9  2019[373]
Mount McSauba, Charlevoix, Michigan, 650, 400, 150, 80, 10, 4, , $18, December 9  2019[374]
Mount Zion Ski Hill, Ironwood, Michigan, 1 400, 1 100, 300, 20, 9, 2, , $25, December 9  2019[375]
Mulligan's Hollow Ski Bowl, Grand Haven, Michigan, 700, 570, 130, 10, 7, 5, 60, $20, December 9  2019[376]
Norway Mountain Resort, Norway, Michigan, 1 335, 835, 500, 186, 17, 6, 100, $45, December 9  2019[377]
Nub's Nob Ski Area, Harbor Springs, Michigan, 1 338, 911, 427, 248, 53, 10, 123, $88, December 9  2019[378]
Otsego Club and Resort, Gaylord, Michigan, 1 380, 1 080, 300, 160, 30, 5, 150, $65, December 9  2019[379]
Petoskey Winter Sports Park, Petoskey, Michigan, 790, 720, 70, , , 1, , Free, December 9  2019[380]
Pine Knob, Clarkston, Michigan, 1 308, 1 009, 300, 80, 14, 6, , $47, December 9  2019[381]
Pine Mountain Resort, Iron Mountain, Michigan, 1 650, 1 150, 500, 220, 31, 4, 60, $49, December 9  2019[382]
Porcupine Mountains Ski Area, Ontonagon, Michigan, 1 360, 720, 640, 200, 19, 3, , $45, December 9  2019[383]
Shanty Creek Resort, Bellaire, Michigan, 1 125, 675, 450, 70, 42, 8, 160, $74, December 9  2019[384]
Ski Brule, Stambaugh, Michigan, 1 861, 1 361, 500, 150, 17, 11, 150, $55, December 9  2019[385]
Snow Snake Mountain Ski Area, Harrison, Michigan, 1 230, 1 020, 210, 40, 12, 6, , $35, December 9  2019[386]
Timber Ridge, Gobles, Michigan, 850, 650, 200, 50, 16, 8, , $45, December 9  2019[387]
Treetops Resort, Gaylord, Michigan, 1 345, 1 120, 225, 80, 23, 5, 175, $43, December 9  2019[388]
Belleyare Ski Center, Kingston, New York, 3 429, 2 024, 1 405, 173, 52, 8, 141, $80, December 10  2019[389]
Gore Mountain Ski Resort, Glens Falls, New York, 3 600, 1 000, 2 600, 428, 109, 15, 150, $94, December 10  2019[390]
Holiday Valley, Buffalo, New York, 2 250, 1 500, 750, 290, 58, 13, 180, $85, December 10  2019[391]
Peek'n Peak Resort, Erie, New York, 1 800, 1 400, 400, 130, 27, 9, 105, $64, December 10  2019[392]
Catamount Ski Area, Great Barrington, New York, 2 000, 1 000, 1 000, 119, 36, 7, 75, $30, December 10  2019[393]
Greek Peak Mountain Resort, Virgil, New York, 2 200, 1 148, 952, 220, 55, 9, 122, $79, December 10  2019[394]
Titus Mountain Family Ski Center, Malone, New York, 2 025, 825, 1 200, 380, 50, 10, 150, $49, December 10  2019[395]
Kissing Bridge, Glenwood, New York, 1 700, 1 150, 550, 700, 39, 10, 120, $65, December 10  2019[396]
Holiday Mountain, Monticello, New York, 1 550, 1 150, 400, 37, 9, 4, 50, $42, December 9  2019[397]
Bristol Mountain Ski Resort, Rochester, New York, 2 150, 1 000, 1 150, 160, 35, 6, 130, $79, December 9  2019[398]
Buffalo Ski Center, Colden, New York, 3 429, 2 025, 500, 225, 43, 6, , $50, December 9  2019[399]
Big Tupper Ski Area, Tupper Lake, New York, , , , , , , , Temporarily Closed, December 9  2019[400]
Hickory Ski Center, , New York, , , , , , , , Temporarily Closed, December 9  2019[401]
Four Season Ski Center, Fayetteville, New York, 604, 545, 59, 12, 4, 2, , $24, December 10  2019[402]
Maple Ski Ridge, Schenectady, New York, 1 200, 750, 450, 25, 10, 3, , $39, December 10  2019[403]
McCauley Mountain Ski Center, Old Forge, New York, 2 280, 1 647, 633, 70, 21, 5, 200, $35, December 10  2019[404]
Mount Pisgah Ski Area, Saranac Lake, New York, 2 060, 1 770, 290, 15, 5, 1, , $15, December 10  2019[405]
Beartown Ski Area, Plattburgh, New York, 1 000, 850, 150, 32, 9, 2, , $22, December 10  2019[406]
Mount Peter, Warwick, New York, 1 250, 800, 450, 69, 14, 5, 50, $62, December 10  2019[407]
Oak Mountain, Speculator, New York, 2 400, 1 650, 750, 46, 22, 4, 120, $40, December 10  2019
Royal Mountain Ski Area, Johnstown, New York, 1 800, 1 250, 550, 35, 14, 3, 90, $45, December 10  2019[408]
Song Mountain Resort, Tully, New York, 1 940, 1 240, 700, 93, 24, 5, 125, $61, December 10  2019[409]
Snow Ridge Ski Resort, Turin, New York, 2 000, 1 350, 650, 130, 21, 6, 230, $48, December 10  2019[410]
Labrador Mountain, Truxton, New York, 1 825, 1 125, 700, 250, 23, 4, 125, $61, December 10  2019[409]
Swain Resort, Grove, New York, 1 970, 1 320, 650, 130, 35, 5, 120, $65, December 10  2019[411]
Dry Hill Ski Area, Watertown, New York, 950, 650, 300, 37, 7, 3, 125, $38, December 10  2019[412]
Thunder Ridge Ski Area, Patterson, New York, 1270, 670, 600, 90, 21, 7, , $57, December 10  2019
Tuxedo Ridge Ski Center, , New York, , , , , , , , Temporarily Closed, December 10  2019[413]
West Mountain, Glens Falls, New York, 1 470, 460, 1 010, 124, 30, 7, 80, $79, December 10  2019[414]
Willard Mountain, Greenwich, New York, 1 415, 910, 505, 50, 16, 5, 80, $47, December 10  2019[415]
Toggenburg Mountain Ski Center, Fabius, New York, 2 000, 1 300, 700, 85, 22, 5, 130, $57, December 10  2019[416]
Woods Valley Ski Area, Rome, New York, 1 400, 900, 500, 25, 21, 6, 180, $39, December 10  2019[417]
Brantling Ski Slopes, Sodus, New York, 850, 600, 250, 20, 10, 5, 110, $32, December 10  2019[418]
Plattekill Mountain, Roxbury, New York, 3 500, 2 400, 1 100, 110, 38, 4, 175, $68, December 10  2019[419]
Bromley Mountain Resort, Manchester, Vermont, 3 284, 1 950, 1 334, 178, 47, 9, 168, $92, December 10  2019[420]
Burke Mountain, Lyndonville, Vermont, 3 267, 1 210, 2 011, 178, 50, 6, 217, $75, December 10  2019[421]
Cochran's Ski Area, Richmond, Vermont, 950, 600, 350, 15, 8, 3, 150, $19, December 10  2019[422]
Hard'ack Recreation Area, St. Albans, Vermont, , , 100, , , 1, , Free, December 10  2019[423]
Living Memorial Park, Brattleboro, Vermont, 1126, 922, 204, 8, 2, 1, , $5, December 10  2019[424]
Lyndon Outing Club, Lyndon, Vermont, 1 247, 814, 433, 32, 10, 2, , $15, December 10  2019[425]
Mad River Glen, Waitsfield, Vermont, 3 637, 1 600, 2 037, 115, 52, 5, 230, $79, December 10  2019
Jay Peak, Jay, Vermont, 3 968, 1 815, 2 153, 385, 79, 9, 350, $89, December 10  2019[426]
Magic Mountain, Londonderry, Vermont, 2 850, 1 350, 1 500, 205, 51, 6, 150, $74, December 10  2019[427]
Middlebury College Snow Bowl, Hancock, Vermont, 2 720, 1 720, 1 000, 110, 17, 3, 250, $60, December 10  2019[428]
Pico Mountain, Killington, Vermont, 3 967, 2 000, 1 967, 468, 57, 7, 250, $85, December 10  2019[429]
Suicide Six, Pomfret, Vermont, 1 200, 550, 650, 100, 23, 3, 110, $79, December 10  2019[430]
