Country, Resolution, Satellite, Year launched
{{IND}}, 0.25 meter, Cartosat-3, 2019
{{JPN}}, 0.4 meter, IGS Optical 5V, 2013
{{ISR}}, 0.5 meter, Ofeq 9, 2010
{{CHN}}, 0.5 meter, Gaofen 9, 2015
{{ROK}}, 0.7 meter, KOMPSAT-3, 2012
{{IRI}}, 150 meters, Rasad 1, 2011
