, Trident, Gecko, WebKit, KHTML, Presto, Prince XML, Antenna House
XPath 1.0[26], {{yes}}, {{yes|1.8}}, {{yes}}, {{yes|4.8}}, {{yes|2.0}}, {{Dunno}}, {{depends}}[14]
XPath 2.0[27], {{no}}, {{no}}[28], {{Dunno}}, {{Dunno}}, {{Dunno}}, {{Dunno}}, {{depends}}[14]
XPath 3.0[29], {{Dunno}}, {{Dunno}}, {{Dunno}}, {{Dunno}}, {{Dunno}}, {{Dunno}}, {{Dunno}}
XPath 3.1[30], {{Dunno}}, {{Dunno}}, {{Dunno}}, {{Dunno}}, {{Dunno}}, {{Dunno}}, {{Dunno}}
XQuery[31], {{Dunno}}, {{no}}[32], {{no}}[33], {{Dunno}}, {{no}}, {{Dunno}}, {{no}}
