Client, Label messages, Reformat received messages, Bi-directional text support, Composing messages, Native images preview, Postpone / scheduled message sending, Native documents preview
 with colors, with flag, antidelete, add note, edit headers (e.g.  Subject), forced recode {{r|group=Note|recode}}, Spell checking, Signatures, Bottom-posts replies, jpeg, gif, bmp, png, others, txt, pdf, doc, xls, odt, ods, others
 IBM Notes, {{yes}}, {{yes}}, {{dunno}}, {{dunno}}, {{yes}}, {{dunno}}, {{dunno}}, {{yes}}, {{yes}}, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes|CGM  Lotus PIC  PCX  TIFF}}, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{dunno}}, {{dunno}}, {{dunno}}
 KMail, {{yes}}[63], {{yes}}, {{no}}, {{yes}}, {{dunno}}, {{dunno}}, {{dunno}}, {{yes}}, {{yes}}, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
 Mailbird, {{yes}}, {{yes}}, {{dunno}}, {{Yes}}, {{dunno}}, {{dunno}}, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{dunno}}
 Mailpile, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
 Microsoft Entourage, {{yes}}, {{yes}}, {{dunno}}, {{Yes}}{{r|group=Note|eragenotes}}, {{dunno}}, {{dunno}}, {{dunno}}, {{yes}}, {{yes}}, {{dunno}}, {{Yes}}, {{Yes}}, {{dunno}}, {{Yes}}, {{dunno}}, {{dunno}}, {{dunno}}, {{yes}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
 Microsoft Office Outlook, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{dunno}}, {{dunno}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{dunno}}, {{yes}}, {{yes}}, {{yes|with a plugin}}, {{yes}}, {{yes}}, {{yes|2010}}, {{yes|2010}}, PowerPoint
 Mozilla Mail & Newsgroups, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
 Mozilla Thunderbird, {{yes}}, {{yes}}, {{dunno}}, {{dunno}}, {{partial|with a plugin}}[64], {{dunno}}, {{dunno}}, {{yes}}, {{yes}}, {{yes}} {{r|group=Note|Thunderbird_reply_format}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes|ICO}}, {{yes}} {{r|group=Note|TbirdSl8Tr}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
 Mulberry, {{dunno}}, {{yes}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{yes}}, {{yes}}, {{dunno}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
 Mutt, {{yes}}, {{yes}}, {{no}}, {{no}}, {{yes}}, {{dunno}}, {{dunno}}, {{yes}}, {{yes}}, {{dunno}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{yes|postpone}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
 Netscape Messenger, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
 Netscape Messenger 9, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
 nmh / MH, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
 Opera Mail, {{yes}}, {{yes}}, {{no}}, {{no}}, {{dunno}}, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes|APNG  ICO  SVG  WBMP  XBM  WebP}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
 Outlook Express, {{no}}, {{yes}}, {{no}}, {{no}}, {{dunno}}, {{dunno}}, {{dunno}}, {{yes}}, {{yes}}, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes|ICO  art}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunn
