XEP, Description, Status, ejabberd, iChat Server, jabberd14, jabberd2, Metronome, Isode M-Link, MongooseIM, Openfire, Prosody, Tigase
0077, In-Band Registration, {{Yes|Final}}, {{Yes}}[8], {{unk}}, {{Yes}}[2], {{Yes}}[17], {{Yes}}[18], {{Yes}}[19], {{Yes}}, {{Yes}}[5], {{Yes}}[20], {{Yes}}[6]
0078, Non-SASL Authentication, {{incorrect|Obsolete}}, {{Yes}}[8], {{unk}}, {{Yes}}[2], {{Yes}}[17], {{No}}[18], {{Yes}}[19], {{Yes}}, {{Yes}}[5], {{Yes}}[20], {{Yes}}[6]
0079, Advanced Message Processing, {{nightly|Draft}}, Contrib.[8][29], Contrib.[8], {{unk}}, {{yes}}[17], {{No}}[18], {{No}}, {{Yes  partial}}, {{unk}}, {{No}}[20], {{Yes}}[6]
0080, User Location, {{nightly|Draft}}, {{unk}}, {{unk}}, {{unk}}, {{no}}[17], {{Yes}}[18], {{No}}, {{Yes}}, {{unk}}, {{Yes}}[20], {{Yes}}[6]
0082, XMPP Date and Time Profiles, {{Yes|Approved}}, {{Yes}}[8], {{unk}}, {{unk}}, {{No}}[17], {{Yes}}[18], {{Yes}}[19], {{Yes}}, {{Yes}}[5], {{Yes}}[20], {{Yes}}[6]
0083, Nested Roster Groups, {{Yes|Approved}}, {{Yes}}[8], {{unk}}, {{Yes}}[2], {{Yes}}[17], {{Yes}}[18], {{No}}, {{Yes}}, {{unk}}, {{Yes}}[20], {{Yes}}[6]
0084, User Avatar, {{nightly|Draft}}, {{unk}}, {{unk}}, {{unk}}, {{No}}[17], {{Yes}}[18], {{No}}, {{No}}, {{unk}}, {{Yes}}[20], {{Yes}}[6]
0085, Chat State Notifications, {{Yes|Final}}, {{Yes}}[8], {{unk}}, {{unk}}, {{No}}[17], {{Yes}}, {{No}}, {{Yes}}, {{unk}}, {{Yes}}[20], {{Yes}}[6]
0086, Error Condition Mappings, {{incorrect|Deprecated}}, {{Yes}}[8], {{unk}}, {{Yes}}[2], {{Yes}}[17], {{No}}[18], {{No}}, {{Yes}}, {{Yes}}[5], {{No}}, {{Yes}}[6]
0090, Legacy Entity Time, {{incorrect|Obsolete}}, {{Yes}}[8][30], {{unk}}, {{Yes}}[2], {{Yes}}[17], {{No}}[18], {{No}}, {{No}}, {{Yes}}[5], {{Yes}}[20], {{Yes}}[6]
XEP, Description, Status, ejabberd, iChat Server, jabberd14, jabberd2, Metronome, Isode M-Link, MongooseIM, Openfire, Prosody, Tigase
0091, Legacy Delayed Delivery, {{incorrect|Obsolete}}, {{Yes}}[8][30], {{unk}}, {{Yes}}[2], {{Yes}}[17], {{Yes}}, {{Yes}}[19], {{No}}, {{Yes}}[5], {{Yes}}[20], {{Yes}}[6]
0092, Software Version, {{nightly|Draft}}, {{Yes}}[8], {{unk}}, {{Yes}}[2], {{Yes}}[17], {{Yes}}[18], {{Yes}}[19], {{No}}, {{Yes}}[5], {{Yes}}[20], {{Yes}}[6]
0093, Roster Item Exchange, {{incorrect|Deprecated}}, {{unk}}, {{unk}}, {{Yes}}[2], {{Yes}}[17], {{unk}}, {{No}}, {{Yes}}, {{unk}}, {{No}}, {{No}}
0095, Stream Initiation, {{incorrect|Deprecated}}, {{unk}}, {{unk}}, {{unk}}, {{No}}[17], {{unk}}, {{No}}, {{Yes}}, {{unk}}, {{No}}, {{No}}
0096, SI File Transfer, {{incorrect|Deprecated}}, {{unk}}, {{unk}}, {{unk}}, {{No}}[17], {{unk}}, {{No}}, {{Yes}}, {{Yes}}[5], {{Yes}}[20], {{Yes}}[6]
