XEP, Description, Status, ejabberd, iChat Server, jabberd14, jabberd2, Metronome, Isode M-Link, MongooseIM, Openfire, Prosody, Tigase
0279, Server IP Check, {{okay|Deferred}}, {{Yes}}[8], {{unk}}, {{unk}}, {{No}}[47][47], {{Yes}}[18], {{No}}, {{Yes}}, {{unk}}, Contrib.[20][48], {{No}}
0280, Message Carbons, {{release-candidate|Experimental}}, {{Yes}}[8], {{unk}}, {{unk}}, {{unk}}, {{Yes}}[18], {{No}}, {{Yes}}[49], {{Yes}}[43], {{Yes}}[50], {{Yes}}[51]
0288, Bidirectional Server-to-Server Connections, {{nightly|Draft}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{Yes}}, {{Yes}}[19], {{No}}, {{unk}}, {{unk}}, {{unk}}
0289, Federated MUC for Constrained Environments, {{okay|Deferred}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{No}}, {{Yes}}[19], {{No}}, {{unk}}, {{unk}}, {{unk}}
0302, XMPP Compliance Suites 2012, {{incorrect|Obsolete}}, {{Yes}}[8], {{unk}}, {{unk}}, {{unk}}, {{Yes}}, {{No}}, {{Yes}}, {{unk}}, {{unk}}, {{Yes}}[6]
0309, Service Directories, {{okay|Deferred}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{Yes}}[18], {{unk}}, {{No}}, {{unk}}, Contrib.[20], {{unk}}
0313, Message Archive Management, {{release-candidate|Experimental}}, {{Yes}}[52], {{unk}}, {{unk}}, {{unk}}, {{Yes}}[18], {{No}}, {{Yes}}, {{Yes}}[53], {{Yes}}[54], {{Yes}}[6]
0321, Remote Roster Management, {{okay|Deferred}}, {{Yes}}[41], {{unk}}, {{unk}}, {{unk}}, {{unk}}[18], {{unk}}, {{No}}, {{unk}}, {{unk}}[55], {{unk}}
0357, Push Notifications, {{release-candidate|Experimental}}, Contrib, {{unk}}, {{No}}, {{No}}, {{Yes}}[18], {{No}}, {{Yes}}[56], {{No}}, Contrib.[57], {{Yes}}[6]
0363, HTTP File Upload, {{release-candidate|Experimental}}, Contrib, {{unk}}, {{No}}, {{No}}, {{Yes}}[18], {{No}}, {{Yes}}[58], {{Yes}}/Plugin[59], {{Yes}}[60], {{Yes}}[6]
0375, XMPP Compliance Suites 2016, {{release-candidate|Experimental}}, Contrib, {{unk}}, {{unk}}, {{unk}}, {{Yes}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}
0376, Pubsub Account Management, {{okay|Deferred}}, Contrib, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}
XEP, Description, Status, ejabberd, iChat Server, jabberd14, jabberd2, Metronome, Isode M-Link, MongooseIM, Openfire, Prosody, Tigase
