IDE, Developer, Latest stable release, Platform, License
Aptana Studio with integrated RadRails plugin (Eclipse), Aptana  Inc., 3.5.0 / December 27  2013, Windows  Linux  macOS  FreeBSD  JVM  Solaris, {{yes|GPL  proprietary}}
Eclipse DLTK Ruby Plugin, Eclipse Foundation, 5.0.0 / June 6  2013, x86, {{yes|EPL}}
eric, Detlev Offenbach, 6.1.4 / April 9  2016, Cross-platform, {{yes|GPLv3 "or later"}}
Komodo IDE / Edit, ActiveState, 9.0.1 / April 19  2015, Cross-platform, {{proprietary}}
NetBeans, Thomas Enebo (JRuby co-lead), 9.0 / {{Start date and age|2018|07|29}}[43], Cross-platform, {{yes|CDDL and GPL}}
RubyMine (IntelliJ IDEA), JetBrains, 2018.3.5 (build 183.5912.16) / Feb 27  2019[44], Windows  Linux  macOS  FreeBSD  OpenBSD  Solaris, {{proprietary}}
SlickEdit, SlickEdit, October 2016, Windows  Linux  macOS  AIX  Solaris  HP-UX, {{Proprietary}}
